名称	道具种类	具体类别	动画文件名	对应物件索引	宽度	高度	说明文字	详细类别
安邦之菊花石指环碎片(3/6)	4	755	\spr\item\citydefence\fragment.spr	347	1	1	安邦之菊花石指环的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“安邦之菊花石指环”。	1
安邦之菊花石指环碎片(4/6)	4	756	\spr\item\citydefence\fragment.spr	347	1	1	安邦之菊花石指环的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“安邦之菊花石指环”。	1
安邦之菊花石指环碎片(5/6)	4	757	\spr\item\citydefence\fragment.spr	347	1	1	安邦之菊花石指环的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“安邦之菊花石指环”。	1
安邦之菊花石指环碎片(6/6)	4	758	\spr\item\citydefence\fragment.spr	347	1	1	安邦之菊花石指环的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“安邦之菊花石指环”。	1
安邦之田黄石玉佩碎片(1/6)	4	759	\spr\item\citydefence\fragment.spr	347	1	1	安邦之田黄石玉佩的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“安邦之田黄石玉佩”。	1
安邦之田黄石玉佩碎片(2/6)	4	760	\spr\item\citydefence\fragment.spr	347	1	1	安邦之田黄石玉佩的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“安邦之田黄石玉佩”。	1
安邦之田黄石玉佩碎片(3/6)	4	761	\spr\item\citydefence\fragment.spr	347	1	1	安邦之田黄石玉佩的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“安邦之田黄石玉佩”。	1
安邦之田黄石玉佩碎片(4/6)	4	762	\spr\item\citydefence\fragment.spr	347	1	1	安邦之田黄石玉佩的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“安邦之田黄石玉佩”。	1
安邦之田黄石玉佩碎片(5/6)	4	763	\spr\item\citydefence\fragment.spr	347	1	1	安邦之田黄石玉佩的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“安邦之田黄石玉佩”。	1
安邦之田黄石玉佩碎片(6/6)	4	764	\spr\item\citydefence\fragment.spr	347	1	1	安邦之田黄石玉佩的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“安邦之田黄石玉佩”。	1
安邦之鸡血石戒指碎片(1/6)	4	765	\spr\item\citydefence\fragment.spr	347	1	1	安邦之鸡血石戒指的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“安邦之鸡血石戒指”。	1
安邦之鸡血石戒指碎片(2/6)	4	766	\spr\item\citydefence\fragment.spr	347	1	1	安邦之鸡血石戒指的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“安邦之鸡血石戒指”。	1
安邦之鸡血石戒指碎片(3/6)	4	767	\spr\item\citydefence\fragment.spr	347	1	1	安邦之鸡血石戒指的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“安邦之鸡血石戒指”。	1
安邦之鸡血石戒指碎片(4/6)	4	768	\spr\item\citydefence\fragment.spr	347	1	1	安邦之鸡血石戒指的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“安邦之鸡血石戒指”。	1
安邦之鸡血石戒指碎片(5/6)	4	769	\spr\item\citydefence\fragment.spr	347	1	1	安邦之鸡血石戒指的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“安邦之鸡血石戒指”。	1
安邦之鸡血石戒指碎片(6/6)	4	770	\spr\item\citydefence\fragment.spr	347	1	1	安邦之鸡血石戒指的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“安邦之鸡血石戒指”。	1
侠骨之情意结碎片(1/6)	4	771	\spr\item\citydefence\fragment.spr	347	1	1	侠骨之情意结的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“侠骨之情意结”。	1
侠骨之情意结碎片(2/6)	4	772	\spr\item\citydefence\fragment.spr	347	1	1	侠骨之情意结的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“侠骨之情意结”。	1
侠骨之情意结碎片(3/6)	4	773	\spr\item\citydefence\fragment.spr	347	1	1	侠骨之情意结的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“侠骨之情意结”。	1
侠骨之情意结碎片(4/6)	4	774	\spr\item\citydefence\fragment.spr	347	1	1	侠骨之情意结的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“侠骨之情意结”。	1
侠骨之情意结碎片(5/6)	4	775	\spr\item\citydefence\fragment.spr	347	1	1	侠骨之情意结的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“侠骨之情意结”。	1
侠骨之情意结碎片(6/6)	4	776	\spr\item\citydefence\fragment.spr	347	1	1	侠骨之情意结的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“侠骨之情意结”。	1
柔情之巾帼霓裳碎片(1/6)	4	777	\spr\item\citydefence\fragment.spr	347	1	1	柔情之巾帼霓裳的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“柔情之巾帼霓裳”。	1
柔情之巾帼霓裳碎片(2/6)	4	778	\spr\item\citydefence\fragment.spr	347	1	1	柔情之巾帼霓裳的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“柔情之巾帼霓裳”。	1
柔情之巾帼霓裳碎片(3/6)	4	779	\spr\item\citydefence\fragment.spr	347	1	1	柔情之巾帼霓裳的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“柔情之巾帼霓裳”。	1
柔情之巾帼霓裳碎片(4/6)	4	780	\spr\item\citydefence\fragment.spr	347	1	1	柔情之巾帼霓裳的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“柔情之巾帼霓裳”。	1
柔情之巾帼霓裳碎片(5/6)	4	781	\spr\item\citydefence\fragment.spr	347	1	1	柔情之巾帼霓裳的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“柔情之巾帼霓裳”。	1
柔情之巾帼霓裳碎片(6/6)	4	782	\spr\item\citydefence\fragment.spr	347	1	1	柔情之巾帼霓裳的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“柔情之巾帼霓裳”。	1
定国之钨砂发冠碎片(1/6)	4	783	\spr\item\citydefence\fragment.spr	347	1	1	定国之钨砂发冠的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“定国之钨砂发冠”。	1
定国之钨砂发冠碎片(2/6)	4	784	\spr\item\citydefence\fragment.spr	347	1	1	定国之钨砂发冠的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“定国之钨砂发冠”。	1
定国之钨砂发冠碎片(3/6)	4	785	\spr\item\citydefence\fragment.spr	347	1	1	定国之钨砂发冠的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“定国之钨砂发冠”。	1
定国之钨砂发冠碎片(4/6)	4	786	\spr\item\citydefence\fragment.spr	347	1	1	定国之钨砂发冠的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“定国之钨砂发冠”。	1
定国之钨砂发冠碎片(5/6)	4	787	\spr\item\citydefence\fragment.spr	347	1	1	定国之钨砂发冠的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“定国之钨砂发冠”。	1
定国之钨砂发冠碎片(6/6)	4	788	\spr\item\citydefence\fragment.spr	347	1	1	定国之钨砂发冠的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“定国之钨砂发冠”。	1
梦龙之金丝正红袈裟碎片(1/6)	4	789	\spr\item\citydefence\fragment.spr	347	1	1	梦龙之金丝正红袈裟的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“梦龙之金丝正红袈裟”。	1
梦龙之金丝正红袈裟碎片(2/6)	4	790	\spr\item\citydefence\fragment.spr	347	1	1	梦龙之金丝正红袈裟的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“梦龙之金丝正红袈裟”。	1
梦龙之金丝正红袈裟碎片(3/6)	4	791	\spr\item\citydefence\fragment.spr	347	1	1	梦龙之金丝正红袈裟的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“梦龙之金丝正红袈裟”。	1
梦龙之金丝正红袈裟碎片(4/6)	4	792	\spr\item\citydefence\fragment.spr	347	1	1	梦龙之金丝正红袈裟的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“梦龙之金丝正红袈裟”。	1
梦龙之金丝正红袈裟碎片(5/6)	4	793	\spr\item\citydefence\fragment.spr	347	1	1	梦龙之金丝正红袈裟的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“梦龙之金丝正红袈裟”。	1
梦龙之金丝正红袈裟碎片(6/6)	4	794	\spr\item\citydefence\fragment.spr	347	1	1	梦龙之金丝正红袈裟的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“梦龙之金丝正红袈裟”。	1
继业之玄武黄金铠碎片(1/6)	4	795	\spr\item\citydefence\fragment.spr	347	1	1	继业之玄武黄金铠的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“继业之玄武黄金铠”。	1
继业之玄武黄金铠碎片(2/6)	4	796	\spr\item\citydefence\fragment.spr	347	1	1	继业之玄武黄金铠的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“继业之玄武黄金铠”。	1
继业之玄武黄金铠碎片(3/6)	4	797	\spr\item\citydefence\fragment.spr	347	1	1	继业之玄武黄金铠的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“继业之玄武黄金铠”。	1
继业之玄武黄金铠碎片(4/6)	4	798	\spr\item\citydefence\fragment.spr	347	1	1	继业之玄武黄金铠的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“继业之玄武黄金铠”。	1
继业之玄武黄金铠碎片(5/6)	4	799	\spr\item\citydefence\fragment.spr	347	1	1	继业之玄武黄金铠的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“继业之玄武黄金铠”。	1
继业之玄武黄金铠碎片(6/6)	4	800	\spr\item\citydefence\fragment.spr	347	1	1	继业之玄武黄金铠的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“继业之玄武黄金铠”。	1
无魇之洗象玉扣碎片(1/6)	4	801	\spr\item\citydefence\fragment.spr	347	1	1	无魇之洗象玉扣的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“无魇之洗象玉扣”。	1
无魇之洗象玉扣碎片(2/6)	4	802	\spr\item\citydefence\fragment.spr	347	1	1	无魇之洗象玉扣的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“无魇之洗象玉扣”。	1
无魇之洗象玉扣碎片(3/6)	4	803	\spr\item\citydefence\fragment.spr	347	1	1	无魇之洗象玉扣的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“无魇之洗象玉扣”。	1
无魇之洗象玉扣碎片(4/6)	4	804	\spr\item\citydefence\fragment.spr	347	1	1	无魇之洗象玉扣的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“无魇之洗象玉扣”。	1
无魇之洗象玉扣碎片(5/6)	4	805	\spr\item\citydefence\fragment.spr	347	1	1	无魇之洗象玉扣的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“无魇之洗象玉扣”。	1
无魇之洗象玉扣碎片(6/6)	4	806	\spr\item\citydefence\fragment.spr	347	1	1	无魇之洗象玉扣的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“无魇之洗象玉扣”。	1
无魇之红缁软禢鞋碎片(1/6)	4	807	\spr\item\citydefence\fragment.spr	347	1	1	无魇之红缁软禢鞋的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“无魇之红缁软禢鞋”。	1
无魇之红缁软禢鞋碎片(2/6)	4	808	\spr\item\citydefence\fragment.spr	347	1	1	无魇之红缁软禢鞋的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“无魇之红缁软禢鞋”。	1
无魇之红缁软禢鞋碎片(3/6)	4	809	\spr\item\citydefence\fragment.spr	347	1	1	无魇之红缁软禢鞋的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“无魇之红缁软禢鞋”。	1
无魇之红缁软禢鞋碎片(4/6)	4	810	\spr\item\citydefence\fragment.spr	347	1	1	无魇之红缁软禢鞋的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“无魇之红缁软禢鞋”。	1
无魇之红缁软禢鞋碎片(5/6)	4	811	\spr\item\citydefence\fragment.spr	347	1	1	无魇之红缁软禢鞋的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“无魇之红缁软禢鞋”。	1
无魇之红缁软禢鞋碎片(6/6)	4	812	\spr\item\citydefence\fragment.spr	347	1	1	无魇之红缁软禢鞋的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“无魇之红缁软禢鞋”。	1
无尘之清心向善珠碎片(1/6)	4	813	\spr\item\citydefence\fragment.spr	347	1	1	无尘之清心向善珠的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“无尘之清心向善珠”。	1
无尘之清心向善珠碎片(2/6)	4	814	\spr\item\citydefence\fragment.spr	347	1	1	无尘之清心向善珠的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“无尘之清心向善珠”。	1
无尘之清心向善珠碎片(3/6)	4	815	\spr\item\citydefence\fragment.spr	347	1	1	无尘之清心向善珠的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“无尘之清心向善珠”。	1
无尘之清心向善珠碎片(4/6)	4	816	\spr\item\citydefence\fragment.spr	347	1	1	无尘之清心向善珠的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“无尘之清心向善珠”。	1
无尘之清心向善珠碎片(5/6)	4	817	\spr\item\citydefence\fragment.spr	347	1	1	无尘之清心向善珠的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“无尘之清心向善珠”。	1
无尘之清心向善珠碎片(6/6)	4	818	\spr\item\citydefence\fragment.spr	347	1	1	无尘之清心向善珠的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“无尘之清心向善珠”。	1
碧海之红铃波碎片(1/6)	4	819	\spr\item\citydefence\fragment.spr	347	1	1	碧海之红铃波的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“碧海之红铃波”。	1
碧海之红铃波碎片(2/6)	4	820	\spr\item\citydefence\fragment.spr	347	1	1	碧海之红铃波的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“碧海之红铃波”。	1
碧海之红铃波碎片(3/6)	4	821	\spr\item\citydefence\fragment.spr	347	1	1	碧海之红铃波的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“碧海之红铃波”。	1
碧海之红铃波碎片(4/6)	4	822	\spr\item\citydefence\fragment.spr	347	1	1	碧海之红铃波的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“碧海之红铃波”。	1
碧海之红铃波碎片(5/6)	4	823	\spr\item\citydefence\fragment.spr	347	1	1	碧海之红铃波的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“碧海之红铃波”。	1
碧海之红铃波碎片(6/6)	4	824	\spr\item\citydefence\fragment.spr	347	1	1	碧海之红铃波的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“碧海之红铃波”。	1
幽胧之金蛇发带碎片(1/6)	4	825	\spr\item\citydefence\fragment.spr	347	1	1	幽胧之金蛇发带的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“幽胧之金蛇发带”。	1
幽胧之金蛇发带碎片(2/6)	4	826	\spr\item\citydefence\fragment.spr	347	1	1	幽胧之金蛇发带的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“幽胧之金蛇发带”。	1
幽胧之金蛇发带碎片(3/6)	4	827	\spr\item\citydefence\fragment.spr	347	1	1	幽胧之金蛇发带的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“幽胧之金蛇发带”。	1
幽胧之金蛇发带碎片(4/6)	4	828	\spr\item\citydefence\fragment.spr	347	1	1	幽胧之金蛇发带的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“幽胧之金蛇发带”。	1
幽胧之金蛇发带碎片(5/6)	4	829	\spr\item\citydefence\fragment.spr	347	1	1	幽胧之金蛇发带的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“幽胧之金蛇发带”。	1
幽胧之金蛇发带碎片(6/6)	4	830	\spr\item\citydefence\fragment.spr	347	1	1	幽胧之金蛇发带的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“幽胧之金蛇发带”。	1
幽胧之墨蛛软履碎片(1/6)	4	831	\spr\item\citydefence\fragment.spr	347	1	1	幽胧之墨蛛软履的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“幽胧之墨蛛软履”。	1
幽胧之墨蛛软履碎片(2/6)	4	832	\spr\item\citydefence\fragment.spr	347	1	1	幽胧之墨蛛软履的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“幽胧之墨蛛软履”。	1
幽胧之墨蛛软履碎片(3/6)	4	833	\spr\item\citydefence\fragment.spr	347	1	1	幽胧之墨蛛软履的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“幽胧之墨蛛软履”。	1
幽胧之墨蛛软履碎片(4/6)	4	834	\spr\item\citydefence\fragment.spr	347	1	1	幽胧之墨蛛软履的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“幽胧之墨蛛软履”。	1
幽胧之墨蛛软履碎片(5/6)	4	835	\spr\item\citydefence\fragment.spr	347	1	1	幽胧之墨蛛软履的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“幽胧之墨蛛软履”。	1
幽胧之墨蛛软履碎片(6/6)	4	836	\spr\item\citydefence\fragment.spr	347	1	1	幽胧之墨蛛软履的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“幽胧之墨蛛软履”。	1
咒缚之灭雷颈符碎片(1/6)	4	837	\spr\item\citydefence\fragment.spr	347	1	1	咒缚之灭雷颈符的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“咒缚之灭雷颈符”。	1
咒缚之灭雷颈符碎片(2/6)	4	838	\spr\item\citydefence\fragment.spr	347	1	1	咒缚之灭雷颈符的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“咒缚之灭雷颈符”。	1
咒缚之灭雷颈符碎片(3/6)	4	839	\spr\item\citydefence\fragment.spr	347	1	1	咒缚之灭雷颈符的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“咒缚之灭雷颈符”。	1
咒缚之灭雷颈符碎片(4/6)	4	840	\spr\item\citydefence\fragment.spr	347	1	1	咒缚之灭雷颈符的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“咒缚之灭雷颈符”。	1
咒缚之灭雷颈符碎片(5/6)	4	841	\spr\item\citydefence\fragment.spr	347	1	1	咒缚之灭雷颈符的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“咒缚之灭雷颈符”。	1
咒缚之灭雷颈符碎片(6/6)	4	842	\spr\item\citydefence\fragment.spr	347	1	1	咒缚之灭雷颈符的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“咒缚之灭雷颈符”。	1
地魄之黑焰冲天链碎片(1/6)	4	843	\spr\item\citydefence\fragment.spr	347	1	1	地魄之黑焰冲天链的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“地魄之黑焰冲天链”。	1
地魄之黑焰冲天链碎片(2/6)	4	844	\spr\item\citydefence\fragment.spr	347	1	1	地魄之黑焰冲天链的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“地魄之黑焰冲天链”。	1
地魄之黑焰冲天链碎片(3/6)	4	845	\spr\item\citydefence\fragment.spr	347	1	1	地魄之黑焰冲天链的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“地魄之黑焰冲天链”。	1
地魄之黑焰冲天链碎片(4/6)	4	846	\spr\item\citydefence\fragment.spr	347	1	1	地魄之黑焰冲天链的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“地魄之黑焰冲天链”。	1
地魄之黑焰冲天链碎片(5/6)	4	847	\spr\item\citydefence\fragment.spr	347	1	1	地魄之黑焰冲天链的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“地魄之黑焰冲天链”。	1
地魄之黑焰冲天链碎片(6/6)	4	848	\spr\item\citydefence\fragment.spr	347	1	1	地魄之黑焰冲天链的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“地魄之黑焰冲天链”。	1
同仇之降龙丐衣碎片(1/6)	4	849	\spr\item\citydefence\fragment.spr	347	1	1	同仇之降龙丐衣的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“同仇之降龙丐衣”。	1
同仇之降龙丐衣碎片(2/6)	4	850	\spr\item\citydefence\fragment.spr	347	1	1	同仇之降龙丐衣的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“同仇之降龙丐衣”。	1
同仇之降龙丐衣碎片(3/6)	4	851	\spr\item\citydefence\fragment.spr	347	1	1	同仇之降龙丐衣的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“同仇之降龙丐衣”。	1
同仇之降龙丐衣碎片(4/6)	4	852	\spr\item\citydefence\fragment.spr	347	1	1	同仇之降龙丐衣的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“同仇之降龙丐衣”。	1
同仇之降龙丐衣碎片(5/6)	4	853	\spr\item\citydefence\fragment.spr	347	1	1	同仇之降龙丐衣的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“同仇之降龙丐衣”。	1
同仇之降龙丐衣碎片(6/6)	4	854	\spr\item\citydefence\fragment.spr	347	1	1	同仇之降龙丐衣的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“同仇之降龙丐衣”。	1
同仇之亢龙护手碎片(1/6)	4	855	\spr\item\citydefence\fragment.spr	347	1	1	同仇之亢龙护手的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“同仇之亢龙护手”。	1
同仇之亢龙护手碎片(2/6)	4	856	\spr\item\citydefence\fragment.spr	347	1	1	同仇之亢龙护手的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“同仇之亢龙护手”。	1
同仇之亢龙护手碎片(3/6)	4	857	\spr\item\citydefence\fragment.spr	347	1	1	同仇之亢龙护手的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“同仇之亢龙护手”。	1
同仇之亢龙护手碎片(4/6)	4	858	\spr\item\citydefence\fragment.spr	347	1	1	同仇之亢龙护手的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“同仇之亢龙护手”。	1
同仇之亢龙护手碎片(5/6)	4	859	\spr\item\citydefence\fragment.spr	347	1	1	同仇之亢龙护手的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“同仇之亢龙护手”。	1
同仇之亢龙护手碎片(6/6)	4	860	\spr\item\citydefence\fragment.spr	347	1	1	同仇之亢龙护手的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“同仇之亢龙护手”。	1
魔煌之金甲盔碎片(1/6)	4	861	\spr\item\citydefence\fragment.spr	347	1	1	魔煌之金甲盔的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“魔煌之金甲盔”。	1
魔煌之金甲盔碎片(2/6)	4	862	\spr\item\citydefence\fragment.spr	347	1	1	魔煌之金甲盔的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“魔煌之金甲盔”。	1
魔煌之金甲盔碎片(3/6)	4	863	\spr\item\citydefence\fragment.spr	347	1	1	魔煌之金甲盔的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“魔煌之金甲盔”。	1
魔煌之金甲盔碎片(4/6)	4	864	\spr\item\citydefence\fragment.spr	347	1	1	魔煌之金甲盔的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“魔煌之金甲盔”。	1
魔煌之金甲盔碎片(5/6)	4	865	\spr\item\citydefence\fragment.spr	347	1	1	魔煌之金甲盔的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“魔煌之金甲盔”。	1
魔煌之金甲盔碎片(6/6)	4	866	\spr\item\citydefence\fragment.spr	347	1	1	魔煌之金甲盔的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“魔煌之金甲盔”。	1
魔煌之按出虎项圈碎片(1/6)	4	867	\spr\item\citydefence\fragment.spr	347	1	1	魔煌之按出虎项圈的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“魔煌之按出虎项圈”。	1
魔煌之按出虎项圈碎片(2/6)	4	868	\spr\item\citydefence\fragment.spr	347	1	1	魔煌之按出虎项圈的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“魔煌之按出虎项圈”。	1
魔煌之按出虎项圈碎片(3/6)	4	869	\spr\item\citydefence\fragment.spr	347	1	1	魔煌之按出虎项圈的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“魔煌之按出虎项圈”。	1
魔煌之按出虎项圈碎片(4/6)	4	870	\spr\item\citydefence\fragment.spr	347	1	1	魔煌之按出虎项圈的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“魔煌之按出虎项圈”。	1
魔煌之按出虎项圈碎片(5/6)	4	871	\spr\item\citydefence\fragment.spr	347	1	1	魔煌之按出虎项圈的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“魔煌之按出虎项圈”。	1
魔煌之按出虎项圈碎片(6/6)	4	872	\spr\item\citydefence\fragment.spr	347	1	1	魔煌之按出虎项圈的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“魔煌之按出虎项圈”。	1
魔嗜之山海飞鸿履碎片(1/6)	4	873	\spr\item\citydefence\fragment.spr	347	1	1	魔嗜之山海飞鸿履的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“魔嗜之山海飞鸿履”。	1
魔嗜之山海飞鸿履碎片(2/6)	4	874	\spr\item\citydefence\fragment.spr	347	1	1	魔嗜之山海飞鸿履的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“魔嗜之山海飞鸿履”。	1
魔嗜之山海飞鸿履碎片(3/6)	4	875	\spr\item\citydefence\fragment.spr	347	1	1	魔嗜之山海飞鸿履的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“魔嗜之山海飞鸿履”。	1
魔嗜之山海飞鸿履碎片(4/6)	4	876	\spr\item\citydefence\fragment.spr	347	1	1	魔嗜之山海飞鸿履的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“魔嗜之山海飞鸿履”。	1
魔嗜之山海飞鸿履碎片(5/6)	4	877	\spr\item\citydefence\fragment.spr	347	1	1	魔嗜之山海飞鸿履的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“魔嗜之山海飞鸿履”。	1
魔嗜之山海飞鸿履碎片(6/6)	4	878	\spr\item\citydefence\fragment.spr	347	1	1	魔嗜之山海飞鸿履的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“魔嗜之山海飞鸿履”。	1
凌岳之无极玄玉佩碎片(1/6)	4	879	\spr\item\citydefence\fragment.spr	347	1	1	凌岳之无极玄玉佩的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“凌岳之无极玄玉佩”。	1
凌岳之无极玄玉佩碎片(2/6)	4	880	\spr\item\citydefence\fragment.spr	347	1	1	凌岳之无极玄玉佩的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“凌岳之无极玄玉佩”。	1
凌岳之无极玄玉佩碎片(3/6)	4	881	\spr\item\citydefence\fragment.spr	347	1	1	凌岳之无极玄玉佩的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“凌岳之无极玄玉佩”。	1
凌岳之无极玄玉佩碎片(4/6)	4	882	\spr\item\citydefence\fragment.spr	347	1	1	凌岳之无极玄玉佩的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“凌岳之无极玄玉佩”。	1
凌岳之无极玄玉佩碎片(5/6)	4	883	\spr\item\citydefence\fragment.spr	347	1	1	凌岳之无极玄玉佩的碎片，只要收集齐全部的六片便能在临安神秘铁匠处合成“凌岳之无极玄玉佩”。	1
