name	ItemGenre	DetailType	ParticularType	Animation file name	Corresponding object index	width	high	instructions	Five elements attributes	price	grade	Whether to stack	Basic attribute 1 type	Basic attribute 1 minimum value	Basic attribute 1 maximum value	Basic attribute 2 type	Basic attribute 2 minimum value	Basic attribute 2 maximum value	Basic attribute 3 types	Basic attribute 3 minimum value	Basic attribute 3 maximum value	Basic attribute 4 types	Basic attribute 4 minimum value	Basic attribute 4 maximum value	Basic attribute 5 types	Minimum value of basic attribute 5	Basic attribute 5 maximum value	Basic attribute 6 types	Basic attribute 6 minimum value	Basic attribute 6 maximum value	Basic attribute 7 types	Minimum value of basic attribute 7	Basic attribute 7 maximum value	Requirement attribute 1 type	Requirement attribute 1 value	Requirement attribute 2 type	Requirement attribute 2 value	Requirement attribute 3 types	Requirement attribute 3 value	Requirement attribute 4 type	Requirement attribute 4 value	Requirement attribute 5 types	Requirement attribute 5 value	Requirement attribute 6 types	Requirement attribute 6 value	Magic attribute index 1	Magic attribute index 2	Magic attribute index 3	Magic attribute index 4	Magic attribute index 5	Magic attribute index 6	In the suit	expansion set	Expansion package serial number	Expansion set hidden attributes 1	Expansion set hidden attributes 2	Number of smeltable properties	Meltable steel quality	Basic armor value	Whether equipment can be upgraded to stars	Number of star stones that can be embedded	Equipment breaks through the blessing value	×(17)éÎ»ÖÃÊýÁ¿	Show icon ID
Ngò Hµnh Ên	0	13	0	\spr\item\script\wuxingyin_2.spr	37	1	1	T¨ng hiÖu qu¶ t­¬ng kh¾c cña ngò hµnh	5	0	7	0																						36	120											1390		1400					260	1										
Ngò Hµnh Ên	0	13	0	\spr\item\script\wuxingyin_3.spr	37	1	1	T¨ng hiÖu qu¶ t­¬ng kh¾c cña ngò hµnh	5	0	8	0																						36	120											1391		1401					261	1										
Ngò Hµnh Ên	0	13	0	\spr\item\script\wuxingyin_3.spr	37	1	1	T¨ng hiÖu qu¶ t­¬ng kh¾c cña ngò hµnh	5	0	9	0																						36	120											1392		1402					262	1										
Ngò Hµnh Ên	0	13	0	\spr\item\script\wuxingyin_3.spr	37	1	1	T¨ng hiÖu qu¶ t­¬ng kh¾c cña ngò hµnh	5	0	10	0																						36	120											1393		1403					263	1										
Kim ¤ CÈm Lan Ch©u Liªn	0	4	1	\spr\item\equip\nick\obj-neck24.spr	36	2	1	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp Kim ¤(1)	2	99999	10	0																						36	140	39	0									1874	1854	1895	2097	1917	2214	198	139	1	2459	2194								
Kim ¤ CÈm Lan T¨ng M¹o	0	7	0	\spr\item\equip\cap\obj-ma-cap22.spr	28	2	2	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp Kim ¤(2)	1	99999	10	0	30	360	360	31	85	85																36	140	39	0									1875	1774	1894	1937	2254	2214	198	139	2	2347	2194								
Kim ¤ CÈm Lan Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring21.spr	37	1	1	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp Kim ¤(3)	3	99999	10	0																						36	140	39	0									1874	1814	1895	2117	2254	2214	198	139	3	130									
Kim ¤ CÈm Lan Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle21.spr	34	1	2	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp Kim ¤(4)	4	99999	10	0	30	135	135	31	80	80																36	140	39	0									1875	1794	1894	1937	2254	2214	198	139	4	2347	2194								
Kim ¤ CÈm Lan Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash21.spr	33	2	1	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp Kim ¤(5)	0	99999	10	0	30	160	160	31	80	80																36	140	39	0									1875	1834	1895	2137	2254	2214	198	139	5	2460	2194								
Kim ¤ CÈm Lan Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth22.spr	22	2	3	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp Kim ¤(6)	2	99999	10	0	30	720	720	31	90	90																36	140	39	0									1875	1854	1895	2097	2156	2214	198	139	6	2347	2686								
Kim ¤ CÈm Lan TriÒn Thñ	0	0	6	\spr\item\equip\closeweapon\obj-glove01.spr	9	1	2	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp Kim ¤(7)	1	99999	10	0	28	1	1	29	1	1	167	-30	-30	31	99	99										36	140	39	0									2197	1774	1997	1937	2254	2214	198	139	7	2347	130								
Kim ¤ CÈm Lan T¨ng Hµi	0	5	0	\spr\item\equip\boots\obj-shoes21.spr	26	2	2	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp Kim ¤(8)	3	99999	10	0	30	160	160	31	80	80																36	140	39	0									1875	1814	1895	2117	2177	2214	198	139	8	2347	2194								
Kim ¤ CÈm Lan Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist25.spr	36	1	2	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp Kim ¤(9)	4	99999	10	0																						36	140	39	0									1874	1794	1894	1937	2254	2214	198	139	9	2461	2194								
Kim ¤ CÈm Lan H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring22.spr	37	1	1	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp Kim ¤(10)	0	99999	10	0																						36	140	39	0									1874	1834	1894	2137	2254	2214	198	139	10	130									
Kim ¤ Giµ Lam PhËt Ch©u	0	4	1	\spr\item\equip\nick\obj-neck24.spr	36	2	1	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp Kim ¤(1)	4	99999	10	0																						36	140	39	0									1874	1854	1895	2097	1917	2214	199	140	1	2462	2194								
Kim ¤ Giµ Lam T¨ng M¹o	0	7	0	\spr\item\equip\cap\obj-ma-cap22.spr	28	2	2	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp Kim ¤(2)	0	99999	10	0	30	360	360	31	85	85																36	140	39	0									1875	1774	1894	1937	2254	2214	199	140	2	2347	2194								
Kim ¤ Giµ Lam Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring21.spr	37	1	1	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp Kim ¤(3)	2	99999	10	0																						36	140	39	0									1874	1814	1895	2117	2254	2214	199	140	3	130									
Kim ¤ Giµ Lam Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle21.spr	34	1	2	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp Kim ¤(4)	1	99999	10	0	30	135	135	31	80	80																36	140	39	0									1875	1794	1894	1937	2254	2214	199	140	4	2347	2194								
Kim ¤ Giµ Lam Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash21.spr	33	2	1	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp Kim ¤(5)	3	99999	10	0	30	160	160	31	80	80																36	140	39	0									1875	1834	1895	2137	2254	2214	199	140	5	2463	2194								
Kim ¤ Giµ Lam Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth22.spr	22	2	3	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp Kim ¤(6)	4	99999	10	0	30	720	720	31	90	90																36	140	39	0									1875	1854	1895	2097	2156	2214	199	140	6	2347	2194								
Kim ¤ Giµ Lam T¨ng C«n	0	0	2	\spr\item\equip\closeweapon\obj-staff15.spr	11	1	4	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp Kim ¤(7)	0	99999	10	0	28	69	69	29	128	128	167	-30	-30	31	99	99										36	140	39	0									2271	1774	1997	1937	2254	2214	199	140	7	2347	130								
Kim ¤ Giµ Lam T¨ng Hµi	0	5	0	\spr\item\equip\boots\obj-shoes21.spr	26	2	2	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp Kim ¤(8)	2	99999	10	0	30	160	160	31	80	80																36	140	39	0									1875	1814	1895	2117	2177	2214	199	140	8	2347	2649								
Kim ¤ Giµ Lam Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist25.spr	36	1	2	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp Kim ¤(9)	1	99999	10	0																						36	140	39	0									1874	1794	1894	1937	2254	2214	199	140	9	2464	2194								
Kim ¤ Giµ Lam H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring22.spr	37	1	1	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp Kim ¤(10)	3	99999	10	0																						36	140	39	0									1874	1834	1894	2137	2254	2214	199	140	10	130									
Kim ¤ Bµn Nh­îc H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck24.spr	36	2	1	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp Kim ¤(1)	4	99999	10	0																						36	140	39	0									1874	1854	1895	2097	1917	2214	200	141	1	2462	2194								
Kim ¤ Bµn Nh­îc T¨ng M¹o	0	7	0	\spr\item\equip\cap\obj-ma-cap22.spr	28	2	2	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp Kim ¤(2)	0	99999	10	0	30	360	360	31	85	85																36	140	39	0									1875	1774	1894	1937	2254	2214	200	141	2	2347	2194								
Kim ¤ Bµn Nh­îc Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring21.spr	37	1	1	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp Kim ¤(3)	2	99999	10	0																						36	140	39	0									1874	1814	1895	2117	2254	2214	200	141	3	130									
Kim ¤ Bµn Nh­îc Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle21.spr	34	1	2	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp Kim ¤(4)	1	99999	10	0	30	135	135	31	80	80																36	140	39	0									1875	1794	1894	1937	2254	2214	200	141	4	2347	2650								
Kim ¤ Bµn Nh­îc Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash21.spr	33	2	1	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp Kim ¤(5)	3	99999	10	0	30	160	160	31	80	80																36	140	39	0									1875	1834	1895	2137	2254	2214	200	141	5	2465	2194								
Kim ¤ Bµn Nh­îc Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth22.spr	22	2	3	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp Kim ¤(6)	4	99999	10	0	30	720	720	31	90	90																36	140	39	0									1875	1854	1895	2097	2156	2214	200	141	6	2347	2194								
Kim ¤ Bµn Nh­îc Giíi §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp Kim ¤(7)	0	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	140	39	0									2271	1774	1997	1937	2254	2214	200	141	7	2347	130								
Kim ¤ Bµn Nh­îc T¨ng Hµi	0	5	1	\spr\item\equip\boots\obj-shoes21.spr	26	2	2	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp Kim ¤(8)	2	99999	10	0	30	160	160	31	80	80																36	140	39	0									1875	1814	1895	2117	2177	2214	200	141	8	2347	2194								
Kim ¤ Bµn Nh­îc Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist25.spr	36	1	2	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp Kim ¤(9)	1	99999	10	0																						36	140	39	0									1874	1794	1894	1937	2254	2214	200	141	9	2466	2194								
Kim ¤ Bµn Nh­îc H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring22.spr	37	1	1	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp Kim ¤(10)	3	99999	10	0																						36	140	39	0									1874	1834	1894	2137	2254	2214	200	141	10	130									
Kim ¤ ChÊn Nh¹c Liªn	0	4	1	\spr\item\equip\nick\obj-neck22.spr	36	2	1	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp Kim ¤(1)	0	99999	10	0																						36	140	39	1									1874	1774	1895	1937	1917	2214	201	142	1	2467	2194								
Kim ¤ ChÊn Nh¹c Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap23.spr	31	2	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp Kim ¤(2)	2	99999	10	0	30	360	360	31	85	85																36	140	39	1									1875	1814	1894	2117	2254	2214	201	142	2	2357	2194								
Kim ¤ ChÊn Nh¹c Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring17.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp Kim ¤(3)	1	99999	10	0																						36	140	39	1									1874	1794	1895	1937	2254	2214	201	142	3	130									
Kim ¤ ChÊn Nh¹c Thóc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle22.spr	34	1	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp Kim ¤(4)	3	99999	10	0	30	135	135	31	80	80																36	140	39	1									1875	1834	1894	2137	2254	2214	201	142	4	2357	2194								
Kim ¤ ChÊn Nh¹c Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash22.spr	33	2	1	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp Kim ¤(5)	4	99999	10	0	30	160	160	31	80	80																36	140	39	1									1875	1854	1895	2097	2254	2214	201	142	5	2468	2194								
Kim ¤ ChÊn Nh¹c Kh¶i	0	2	4	\spr\item\equip\armor\obj-ma-cloth23.spr	23	2	3	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp Kim ¤(6)	0	99999	10	0	30	720	720	31	90	90																36	140	39	1									1875	1774	1895	1937	2156	2214	201	142	6	2357	2651								
Kim ¤ ChÊn Nh¹c Chïy	0	0	4	\spr\item\equip\closeweapon\obj-adha05.spr	13	2	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp Kim ¤(7)	2	99999	10	0	28	55	55	29	165	165	167	-30	-30	31	99	99										36	140	39	1									2197	1814	1997	2117	2239	2214	201	142	7	2357	130								
Kim ¤ ChÊn Nh¹c Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes22.spr	26	2	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp Kim ¤(8)	1	99999	10	0	30	160	160	31	80	80																36	140	39	1									1875	1794	1895	1937	2177	2214	201	142	8	2357	2194								
Kim ¤ ChÊn Nh¹c Béi	0	9	1	\spr\item\equip\waist\obj-waist22.spr	36	1	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp Kim ¤(9)	3	99999	10	0																						36	140	39	1									1874	1834	1894	2137	2254	2214	201	142	9	2469	2194								
Kim ¤ ChÊn Nh¹c H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring18.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp Kim ¤(10)	4	99999	10	0																						36	140	39	1									1874	1854	1894	2097	2254	2214	201	142	10	130									
Kim ¤ ChiÕu §¶m H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck22.spr	36	2	1	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp Kim ¤(1)	0	99999	10	0																						36	140	39	1									1874	1774	1895	1937	1917	2214	202	143	1	2471	2194								
Kim ¤ ChiÕu §¶m Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap23.spr	31	2	2	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp Kim ¤(2)	2	99999	10	0	30	360	360	31	85	85																36	140	39	1									1875	1814	1894	2117	2254	2214	202	143	2	2357	2194								
Kim ¤ ChiÕu §¶m Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring17.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp Kim ¤(3)	1	99999	10	0																						36	140	39	1									1874	1794	1895	1937	2254	2214	202	143	3	130									
Kim ¤ ChiÕu §¶m Thóc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle22.spr	34	1	2	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp Kim ¤(4)	3	99999	10	0	30	135	135	31	80	80																36	140	39	1									1875	1834	1894	2137	2254	2214	202	143	4	2357	2194								
Kim ¤ ChiÕu §¶m Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash22.spr	33	2	1	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp Kim ¤(5)	4	99999	10	0	30	160	160	31	80	80																36	140	39	1									1875	1854	1895	2097	2254	2214	202	143	5	2472	2194								
Kim ¤ ChiÕu §¶m Kh¶i	0	2	4	\spr\item\equip\armor\obj-ma-cloth23.spr	23	2	3	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp Kim ¤(6)	0	99999	10	0	30	720	720	31	90	90																36	140	39	1									1875	1774	1895	1937	2156	2214	202	143	6	2357	2194								
Kim ¤ ChiÕu §¶m Th­¬ng	0	0	3	\spr\item\equip\closeweapon\obj-spear05.spr	12	1	4	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp Kim ¤(7)	2	99999	10	0	28	18	18	29	158	158	167	-30	-30	31	99	99										36	140	39	1									2197	1814	1997	2117	2239	2214	202	143	7	2357	130								
Kim ¤ ChiÕu §¶m Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes22.spr	26	2	2	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp Kim ¤(8)	1	99999	10	0	30	160	160	31	80	80																36	140	39	1									1875	1794	1895	1937	2177	2214	202	143	8	2357	2652								
Kim ¤ ChiÕu §¶m Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist22.spr	36	1	2	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp Kim ¤(9)	3	99999	10	0																						36	140	39	1									1874	1834	1894	2137	2254	2214	202	143	9	2473	2194								
Kim ¤ ChiÕu §¶m H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring18.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp Kim ¤(10)	4	99999	10	0																						36	140	39	1									1874	1854	1894	2097	2254	2214	202	143	10	130									
Kim ¤ LÞch HuyÕt H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck22.spr	36	2	1	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp Kim ¤(1)	0	99999	10	0																						36	140	39	1									1874	1774	1895	1937	1917	2214	203	144	1	2475	2194								
Kim ¤ LÞch HuyÕt Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap23.spr	31	2	2	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp Kim ¤(2)	2	99999	10	0	30	360	360	31	85	85																36	140	39	1									1875	1814	1894	2117	2254	2214	203	144	2	2357	2653								
Kim ¤ LÞch HuyÕt Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring17.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp Kim ¤(3)	1	99999	10	0																						36	140	39	1									1874	1794	1895	1937	2254	2214	203	144	3	130									
Kim ¤ LÞch HuyÕt Thóc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle22.spr	34	1	2	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp Kim ¤(4)	3	99999	10	0	30	135	135	31	80	80																36	140	39	1									1875	1834	1894	2137	2254	2214	203	144	4	2357	2194								
Kim ¤ LÞch HuyÕt Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash22.spr	33	2	1	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp Kim ¤(5)	4	99999	10	0	30	160	160	31	80	80																36	140	39	1									1875	1854	1895	2097	2254	2214	203	144	5	2476	2194								
Kim ¤ LÞch HuyÕt Kh¶i	0	2	4	\spr\item\equip\armor\obj-ma-cloth23.spr	23	2	3	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp Kim ¤(6)	0	99999	10	0	30	720	720	31	90	90																36	140	39	1									1875	1774	1895	1937	2156	2214	203	144	6	2357	2194								
Kim ¤ LÞch HuyÕt B¶o §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp Kim ¤(7)	2	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	140	39	1									2197	1814	1997	2117	2239	2214	203	144	7	2357	130								
Kim ¤ LÞch HuyÕt Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes22.spr	26	2	2	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp Kim ¤(8)	1	99999	10	0	30	160	160	31	80	80																36	140	39	1									1875	1794	1895	1937	2177	2214	203	144	8	2357	2194								
Kim ¤ LÞch HuyÕt Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist22.spr	36	1	2	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp Kim ¤(9)	3	99999	10	0																						36	140	39	1									1874	1834	1894	2137	2254	2214	203	144	9	2477	2194								
Kim ¤ LÞch HuyÕt H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring18.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp Kim ¤(10)	4	99999	10	0																						36	140	39	1									1874	1854	1894	2097	2254	2214	203	144	10	130									
Kim ¤ V« ý Ch©u Liªn	0	4	0	\spr\item\equip\nick\obj-neck26.spr	36	2	1	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Kim ¤(1)	4	99999	10	0																						36	140	39	4									1874	1854	1895	2097	1917	2214	204	145	1	2479	2194								
Kim ¤ V« ý Ph¸t §¸i	0	7	10	\spr\item\equip\cap\obj-fm-cap22.spr	28	2	2	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Kim ¤(2)	0	99999	10	0	30	360	360	31	85	85																36	140	39	4									1875	1774	1894	1937	2254	2214	204	145	2	2347	2194								
Kim ¤ V« ý Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring25.spr	37	1	1	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Kim ¤(3)	2	99999	10	0																						36	140	39	4									1874	1814	1895	2117	2254	2214	204	145	3	130									
Kim ¤ V« ý Hé UyÓn	0	8	0	\spr\item\equip\bangle\obj-bangle23.spr	35	1	2	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Kim ¤(4)	1	99999	10	0	30	135	135	31	80	80																36	140	39	4									1875	1794	1894	1937	2254	2214	204	145	4	2347	2654								
Kim ¤ V« ý Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash23.spr	33	2	1	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Kim ¤(5)	3	99999	10	0	30	160	160	31	80	80																36	140	39	4									1875	1834	1895	2137	2254	2214	204	145	5	2480	2194								
Kim ¤ V« ý Sa Y	0	2	10	\spr\item\equip\armor\obj-fm-cloth23.spr	24	2	3	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Kim ¤(6)	4	99999	10	0	30	720	720	31	90	90																36	140	39	4									1875	1854	1895	2097	2156	2214	204	145	6	2347	2194								
Kim ¤ V« ý Tr­êng KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword25.spr	9	1	3	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Kim ¤(7)	0	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	140	39	4									2271	1774	1997	1937	2254	2214	204	145	7	2347	130								
Kim ¤ V« ý Ngoa	0	5	3	\spr\item\equip\boots\obj-shoes23.spr	27	2	2	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Kim ¤(8)	2	99999	10	0	30	160	160	31	80	80																36	140	39	4									1875	1814	1895	2117	2177	2214	204	145	8	2347	2194								
Kim ¤ V« ý H­¬ng Nang	0	9	0	\spr\item\equip\waist\obj-waist27.spr	36	1	2	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Kim ¤(9)	1	99999	10	0																						36	140	39	4									1874	1794	1894	1937	2254	2214	204	145	9	2481	2194								
Kim ¤ V« ý H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring26.spr	37	1	1	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp Kim ¤(10)	3	99999	10	0																						36	140	39	4									1874	1834	1894	2137	2254	2214	204	145	10	130									
Kim ¤ Ng­ng S­¬ng Ch©u Liªn	0	4	0	\spr\item\equip\nick\obj-neck26.spr	36	2	1	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Kim ¤(1)	4	99999	10	0																						36	140	39	4									1874	1854	1895	2097	1917	2214	205	146	1	2483	2194								
Kim ¤ Ng­ng S­¬ng Ph¸t §¸i	0	7	10	\spr\item\equip\cap\obj-fm-cap22.spr	28	2	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Kim ¤(2)	0	99999	10	0	30	360	360	31	85	85																36	140	39	4									1875	1774	1894	1937	2254	2214	205	146	2	2347	2194								
Kim ¤ Ng­ng S­¬ng Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring25.spr	37	1	1	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Kim ¤(3)	2	99999	10	0																						36	140	39	4									1874	1814	1895	2117	2254	2214	205	146	3	130									
Kim ¤ Ng­ng S­¬ng Hé UyÓn	0	8	0	\spr\item\equip\bangle\obj-bangle23.spr	35	1	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Kim ¤(4)	1	99999	10	0	30	135	135	31	80	80																36	140	39	4									1875	1794	1894	1937	2254	2214	205	146	4	2347	2194								
Kim ¤ Ng­ng S­¬ng Thóc Yªu	0	6	1	\spr\item\equip\sash\obj-sash23.spr	33	2	1	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Kim ¤(5)	3	99999	10	0	30	160	160	31	80	80																36	140	39	4									1875	1834	1895	2137	2254	2214	205	146	5	2484	2194								
Kim ¤ Ng­ng S­¬ng Sam	0	2	10	\spr\item\equip\armor\obj-fm-cloth23.spr	24	2	3	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Kim ¤(6)	4	99999	10	0	30	720	720	31	90	90																36	140	39	4									1875	1854	1895	2097	2156	2214	205	146	6	2347	2194								
Kim ¤ Ng­ng S­¬ng TriÒn Thñ	0	0	6	\spr\item\equip\closeweapon\obj-glove02.spr	9	1	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Kim ¤(7)	0	99999	10	0	28	60	60	29	100	100	167	-30	-30	31	99	99										36	140	39	4									2277	1774	2037	1937	2254	2214	205	146	7	2347	130								
Kim ¤ Ng­ng S­¬ng Ngoa	0	5	3	\spr\item\equip\boots\obj-shoes23.spr	27	2	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Kim ¤(8)	2	99999	10	0	30	160	160	31	80	80																36	140	39	4									1875	1814	1895	2117	2177	2214	205	146	8	2347	2655								
Kim ¤ Ng­ng S­¬ng H­¬ng Nang	0	9	0	\spr\item\equip\waist\obj-waist27.spr	36	1	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Kim ¤(9)	1	99999	10	0																						36	140	39	4									1874	1794	1894	1937	2254	2214	205	146	9	2485	2194								
Kim ¤ Ng­ng S­¬ng H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring26.spr	37	1	1	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp Kim ¤(10)	3	99999	10	0																						36	140	39	4									1874	1834	1894	2137	2254	2214	205	146	10	130									
Kim ¤ §inh H­¬ng Ch©u Liªn	0	4	0	\spr\item\equip\nick\obj-neck26.spr	36	2	1	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp Kim ¤(1)	4	99999	10	0																						36	140	39	5									1874	1774	1895	1937	1917	2214	206	147	1	2487	2194								
