Ãû³Æ	ItemGenre	DetailType	ParticularType	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	Ä§·¨ÊôÐÔË÷Òý1	Ä§·¨ÊôÐÔË÷Òý2	Ä§·¨ÊôÐÔË÷Òý3	Ä§·¨ÊôÐÔË÷Òý4	Ä§·¨ÊôÐÔË÷Òý5	Ä§·¨ÊôÐÔË÷Òý6	ËùÔÚÌ××°	À©Õ¹Ì××°	À©Õ¹Ì××°ÐòºÅ	À©Õ¹Ì××°Òþ²ØÊôÐÔ1	À©Õ¹Ì××°Òþ²ØÊôÐÔ2	¿ÉÈÛÁ¶ÊôÐÔÊýÁ¿	¿ÉÈÛÁ¶ÎÆ¸ÖÆ·ÖÊ	»ù´¡±ø¼×Öµ	ÊÇ·ñ¿ÉÉýÐÇ×°±¸	¿ÉÏâÇ¶ÐÇ³½Ê¯ÊýÁ¿	×°±¸Í»ÆÆ×£¸£Öµ	×¢ÁéÎ»ÖÃÊýÁ¿	ÏÔÊ¾Í¼±êID	
XÝch L©n Di LÆc Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist25.spr	36	1	2	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp XÝch L©n(9)	4	99999	10	0																						36	160	39	0									957	877	978	1020	1337	1297	244	185	9	1626	1277									4144
XÝch L©n Di LÆc H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring22.spr	37	1	1	Bé trang bÞ ThiÕu L©m quyÒn ph¸p cÊp XÝch L©n(10)	0	99999	10	0																						36	160	39	0									957	917	978	1220	1337	1297	244	185	10	130										4145
XÝch L©n Gi¸ng Ma PhËt Ch©u	0	4	1	\spr\item\equip\nick\obj-neck24.spr	36	2	1	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp XÝch L©n(1)	4	99999	10	0																						36	160	39	0									957	937	977	1180	1000	1297	245	186	1	1627	1277									4146
XÝch L©n Gi¸ng Ma T¨ng M¹o	0	7	0	\spr\item\equip\cap\obj-ma-cap22.spr	28	2	2	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp XÝch L©n(2)	0	99999	10	0	30	360	360	31	85	85																36	160	39	0									958	857	978	1020	1337	1297	245	186	2	1430	1277									4147
XÝch L©n Gi¸ng Ma Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring21.spr	37	1	1	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp XÝch L©n(3)	2	99999	10	0																						36	160	39	0									957	897	977	1200	1337	1297	245	186	3	130										4148
XÝch L©n Gi¸ng Ma Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle21.spr	34	1	2	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp XÝch L©n(4)	1	99999	10	0	30	135	135	31	80	80																36	160	39	0									958	877	978	1020	1337	1297	245	186	4	1430	1277									4149
XÝch L©n Gi¸ng Ma Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash21.spr	33	2	1	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp XÝch L©n(5)	3	99999	10	0	30	160	160	31	80	80																36	160	39	0									958	917	977	1220	1337	1297	245	186	5	1628	1277									4150
XÝch L©n Gi¸ng Ma Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth22.spr	22	2	3	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp XÝch L©n(6)	4	99999	10	0	30	720	720	31	90	90																36	160	39	0									958	937	977	1180	2725	1297	245	186	6	1430	1277									4151
XÝch L©n Gi¸ng Ma T¨ng C«n	0	0	2	\spr\item\equip\closeweapon\obj-staff15.spr	11	1	4	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp XÝch L©n(7)	0	99999	10	0	28	69	69	29	128	128	167	-30	-30	31	99	99										36	160	39	0									2715	857	1080	1020	1337	1297	245	186	7	1430	130									4152
XÝch L©n Gi¸ng Ma T¨ng Hµi	0	5	0	\spr\item\equip\boots\obj-shoes21.spr	26	2	2	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp XÝch L©n(8)	2	99999	10	0	30	160	160	31	80	80																36	160	39	0									958	897	977	1200	1260	1297	245	186	8	1430	1404									4153
XÝch L©n Gi¸ng Ma Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist25.spr	36	1	2	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp XÝch L©n(9)	1	99999	10	0																						36	160	39	0									957	877	978	1020	1337	1297	245	186	9	1629	1277									4154
XÝch L©n Gi¸ng Ma H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring22.spr	37	1	1	Bé trang bÞ ThiÕu L©m c«n ph¸p cÊp XÝch L©n(10)	3	99999	10	0																						36	160	39	0									957	917	978	1220	1337	1297	245	186	10	130										4155
XÝch L©n YÕt §Õ H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck24.spr	36	2	1	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp XÝch L©n(1)	4	99999	10	0																						36	160	39	0									957	937	977	1180	1000	1297	246	187	1	1627	1277									4156
XÝch L©n YÕt §Õ T¨ng M¹o	0	7	0	\spr\item\equip\cap\obj-ma-cap22.spr	28	2	2	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp XÝch L©n(2)	0	99999	10	0	30	360	360	31	85	85																36	160	39	0									958	857	978	1020	1337	1297	246	187	2	1430	1277									4157
XÝch L©n YÕt §Õ Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring21.spr	37	1	1	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp XÝch L©n(3)	2	99999	10	0																						36	160	39	0									957	897	977	1200	1337	1297	246	187	3	130										4158
XÝch L©n YÕt §Õ Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle21.spr	34	1	2	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp XÝch L©n(4)	1	99999	10	0	30	135	135	31	80	80																36	160	39	0									958	877	978	1020	1337	1297	246	187	4	1430	1405									4159
XÝch L©n YÕt §Õ Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash21.spr	33	2	1	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp XÝch L©n(5)	3	99999	10	0	30	160	160	31	80	80																36	160	39	0									958	917	977	1220	1337	1297	246	187	5	1630	1277									4160
XÝch L©n YÕt §Õ Cµ Sa	0	2	0	\spr\item\equip\armor\obj-ma-cloth22.spr	22	2	3	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp XÝch L©n(6)	4	99999	10	0	30	720	720	31	90	90																36	160	39	0									958	937	977	1180	2725	1297	246	187	6	1430	1277									4161
XÝch L©n YÕt §Õ Giíi §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp XÝch L©n(7)	0	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	160	39	0									2715	857	1080	1020	1337	1297	246	187	7	1430	130									4162
XÝch L©n YÕt §Õ T¨ng Hµi	0	5	1	\spr\item\equip\boots\obj-shoes21.spr	26	2	2	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp XÝch L©n(8)	2	99999	10	0	30	160	160	31	80	80																36	160	39	0									958	897	977	1200	1260	1297	246	187	8	1430	1277									4163
XÝch L©n YÕt §Õ Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist25.spr	36	1	2	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp XÝch L©n(9)	1	99999	10	0																						36	160	39	0									957	877	978	1020	1337	1297	246	187	9	1631	1277									4164
XÝch L©n YÕt §Õ H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring22.spr	37	1	1	Bé trang bÞ ThiÕu L©m ®ao ph¸p cÊp XÝch L©n(10)	3	99999	10	0																						36	160	39	0									957	917	978	1220	1337	1297	246	187	10	130										4165
XÝch L©n Th­êng Th¾ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck22.spr	36	2	1	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp XÝch L©n(1)	0	99999	10	0																						36	160	39	1									957	857	977	1020	1000	1297	247	188	1	1632	1277									4166
XÝch L©n Th­êng Th¾ng Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap23.spr	31	2	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp XÝch L©n(2)	2	99999	10	0	30	360	360	31	85	85																36	160	39	1									958	897	978	1200	1337	1297	247	188	2	1440	1277									4167
XÝch L©n Th­êng Th¾ng Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring17.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp XÝch L©n(3)	1	99999	10	0																						36	160	39	1									957	877	977	1020	1337	1297	247	188	3	130										4168
XÝch L©n Th­êng Th¾ng Thóc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle22.spr	34	1	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp XÝch L©n(4)	3	99999	10	0	30	135	135	31	80	80																36	160	39	1									958	917	978	1220	1337	1297	247	188	4	1440	1277									4169
XÝch L©n Th­êng Th¾ng Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash22.spr	33	2	1	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp XÝch L©n(5)	4	99999	10	0	30	160	160	31	80	80																36	160	39	1									958	937	977	1180	1337	1297	247	188	5	1633	1277									4170
XÝch L©n Th­êng Th¾ng Kh¶i	0	2	4	\spr\item\equip\armor\obj-ma-cloth23.spr	23	2	3	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp XÝch L©n(6)	0	99999	10	0	30	720	720	31	90	90																36	160	39	1									958	857	977	1020	2725	1297	247	188	6	1440	1406									4171
XÝch L©n Th­êng Th¾ng Chïy	0	0	4	\spr\item\equip\closeweapon\obj-adha05.spr	13	2	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp XÝch L©n(7)	2	99999	10	0	28	55	55	29	165	165	167	-30	-30	31	99	99										36	160	39	1									1280	897	1080	1200	1322	1297	247	188	7	1440	130									4172
XÝch L©n Th­êng Th¾ng Ngoa	0	5	1	\spr\item\equip\boots\obj-shoes22.spr	26	2	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp XÝch L©n(8)	1	99999	10	0	30	160	160	31	80	80																36	160	39	1									958	877	977	1020	1260	1297	247	188	8	1440	1277									4173
XÝch L©n Th­êng Th¾ng Béi	0	9	1	\spr\item\equip\waist\obj-waist22.spr	36	1	2	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp XÝch L©n(9)	3	99999	10	0																						36	160	39	1									957	917	978	1220	1337	1297	247	188	9	1634	1277									4174
XÝch L©n Th­êng Th¾ng H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring18.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng chïy ph¸p cÊp XÝch L©n(10)	4	99999	10	0																						36	160	39	1									957	937	978	1180	1337	1297	247	188	10	130										4175
XÝch L©n V« §Þch H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck22.spr	36	2	1	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp XÝch L©n(1)	0	99999	10	0																						36	160	39	1									957	857	977	1020	1000	1297	248	189	1	1636	1277									4176
XÝch L©n V« §Þch Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap23.spr	31	2	2	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp XÝch L©n(2)	2	99999	10	0	30	360	360	31	85	85																36	160	39	1									958	897	978	1200	1337	1297	248	189	2	1440	1277									4177
XÝch L©n V« §Þch Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring17.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp XÝch L©n(3)	1	99999	10	0																						36	160	39	1									957	877	977	1020	1337	1297	248	189	3	130										4178
XÝch L©n V« §Þch Thóc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle22.spr	34	1	2	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp XÝch L©n(4)	3	99999	10	0	30	135	135	31	80	80																36	160	39	1									958	917	978	1220	1337	1297	248	189	4	1440	1277									4179
XÝch L©n V« §Þch Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash22.spr	33	2	1	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp XÝch L©n(5)	4	99999	10	0	30	160	160	31	80	80																36	160	39	1									958	937	977	1180	1337	1297	248	189	5	1637	1277									4180
XÝch L©n V« §Þch Kh¶i	0	2	4	\spr\item\equip\armor\obj-ma-cloth23.spr	23	2	3	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp XÝch L©n(6)	0	99999	10	0	30	720	720	31	90	90																36	160	39	1									958	857	977	1020	2725	1297	248	189	6	1440	1277									4181
XÝch L©n V« §Þch Th­¬ng	0	0	3	\spr\item\equip\closeweapon\obj-spear05.spr	12	1	4	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp XÝch L©n(7)	2	99999	10	0	28	18	18	29	158	158	167	-30	-30	31	99	99										36	160	39	1									1280	897	1080	1200	1322	1297	248	189	7	1440	130									4182
XÝch L©n V« §Þch Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes22.spr	26	2	2	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp XÝch L©n(8)	1	99999	10	0	30	160	160	31	80	80																36	160	39	1									958	877	977	1020	1260	1297	248	189	8	1440	1407									4183
XÝch L©n V« §Þch Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist22.spr	36	1	2	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp XÝch L©n(9)	3	99999	10	0																						36	160	39	1									957	917	978	1220	1337	1297	248	189	9	1638	1277									4184
XÝch L©n V« §Þch H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring18.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng th­¬ng ph¸p cÊp XÝch L©n(10)	4	99999	10	0																						36	160	39	1									957	937	978	1180	1337	1297	248	189	10	130										4185
XÝch L©n L«i §×nh H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck22.spr	36	2	1	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp XÝch L©n(1)	0	99999	10	0																						36	160	39	1									957	857	977	1020	1000	1297	249	190	1	1640	1277									4186
XÝch L©n L«i §×nh Kh«i	0	7	4	\spr\item\equip\cap\obj-ma-cap23.spr	31	2	2	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp XÝch L©n(2)	2	99999	10	0	30	360	360	31	85	85																36	160	39	1									958	897	978	1200	1337	1297	249	190	2	1440	1408									4187
XÝch L©n L«i §×nh Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring17.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp XÝch L©n(3)	1	99999	10	0																						36	160	39	1									957	877	977	1020	1337	1297	249	190	3	130										4188
XÝch L©n L«i §×nh Thóc UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle22.spr	34	1	2	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp XÝch L©n(4)	3	99999	10	0	30	135	135	31	80	80																36	160	39	1									958	917	978	1220	1337	1297	249	190	4	1440	1277									4189
XÝch L©n L«i §×nh Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash22.spr	33	2	1	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp XÝch L©n(5)	4	99999	10	0	30	160	160	31	80	80																36	160	39	1									958	937	977	1180	1337	1297	249	190	5	1641	1277									4190
XÝch L©n L«i §×nh Kh¶i	0	2	4	\spr\item\equip\armor\obj-ma-cloth23.spr	23	2	3	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp XÝch L©n(6)	0	99999	10	0	30	720	720	31	90	90																36	160	39	1									958	857	977	1020	2725	1297	249	190	6	1440	1277									4191
XÝch L©n L«i §×nh B¶o §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp XÝch L©n(7)	2	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	160	39	1									1280	897	1080	1200	1322	1297	249	190	7	1440	130									4192
XÝch L©n L«i §×nh Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes22.spr	26	2	2	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp XÝch L©n(8)	1	99999	10	0	30	160	160	31	80	80																36	160	39	1									958	877	977	1020	1260	1297	249	190	8	1440	1277									4193
XÝch L©n L«i §×nh Yªu Trôy	0	9	1	\spr\item\equip\waist\obj-waist22.spr	36	1	2	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp XÝch L©n(9)	3	99999	10	0																						36	160	39	1									957	917	978	1220	1337	1297	249	190	9	1642	1277									4194
XÝch L©n L«i §×nh H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring18.spr	37	1	1	Bé trang bÞ Thiªn V­¬ng ®ao ph¸p cÊp XÝch L©n(10)	4	99999	10	0																						36	160	39	1									957	937	978	1180	1337	1297	249	190	10	130										4195
XÝch L©n TuyÕt ¶nh Ch©u Liªn	0	4	0	\spr\item\equip\nick\obj-neck26.spr	36	2	1	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp XÝch L©n(1)	4	99999	10	0																						36	160	39	4									957	937	977	1180	1000	1297	250	191	1	1644	1277									4196
XÝch L©n TuyÕt ¶nh Ph¸t §¸i	0	7	10	\spr\item\equip\cap\obj-fm-cap22.spr	28	2	2	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp XÝch L©n(2)	0	99999	10	0	30	360	360	31	85	85																36	160	39	4									958	857	978	1020	1337	1297	250	191	2	1430	1277									4197
XÝch L©n TuyÕt ¶nh Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring25.spr	37	1	1	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp XÝch L©n(3)	2	99999	10	0																						36	160	39	4									957	897	977	1200	1337	1297	250	191	3	130										4198
XÝch L©n TuyÕt ¶nh Hé UyÓn	0	8	0	\spr\item\equip\bangle\obj-bangle23.spr	35	1	2	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp XÝch L©n(4)	1	99999	10	0	30	135	135	31	80	80																36	160	39	4									958	877	978	1020	1337	1297	250	191	4	1430	1409									4199
XÝch L©n TuyÕt ¶nh Thóc Yªu	0	6	0	\spr\item\equip\sash\obj-sash23.spr	33	2	1	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp XÝch L©n(5)	3	99999	10	0	30	160	160	31	80	80																36	160	39	4									958	917	977	1220	1337	1297	250	191	5	1645	1277									4200
XÝch L©n TuyÕt ¶nh Sa Y	0	2	10	\spr\item\equip\armor\obj-fm-cloth23.spr	24	2	3	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp XÝch L©n(6)	4	99999	10	0	30	720	720	31	90	90																36	160	39	4									958	937	977	1180	2725	1297	250	191	6	1430	1277									4201
XÝch L©n TuyÕt ¶nh Tr­êng KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword25.spr	9	1	3	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp XÝch L©n(7)	0	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	160	39	4									2715	857	1080	1020	1337	1297	250	191	7	1430	130									4202
XÝch L©n TuyÕt ¶nh Ngoa	0	5	3	\spr\item\equip\boots\obj-shoes23.spr	27	2	2	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp XÝch L©n(8)	2	99999	10	0	30	160	160	31	80	80																36	160	39	4									958	897	977	1200	1260	1297	250	191	8	1430	1277									4203
XÝch L©n TuyÕt ¶nh H­¬ng Nang	0	9	0	\spr\item\equip\waist\obj-waist27.spr	36	1	2	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp XÝch L©n(9)	1	99999	10	0																						36	160	39	4									957	877	978	1020	1337	1297	250	191	9	1646	1277									4204
XÝch L©n TuyÕt ¶nh H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring26.spr	37	1	1	Bé trang bÞ Nga Mi kiÕm ph¸p cÊp XÝch L©n(10)	3	99999	10	0																						36	160	39	4									957	917	978	1220	1337	1297	250	191	10	130										4205
XÝch L©n V©n Anh Ch©u Liªn	0	4	0	\spr\item\equip\nick\obj-neck26.spr	36	2	1	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp XÝch L©n(1)	4	99999	10	0																						36	160	39	4									957	937	977	1180	1000	1297	251	192	1	1648	1277									4206
XÝch L©n V©n Anh Ph¸t §¸i	0	7	10	\spr\item\equip\cap\obj-fm-cap22.spr	28	2	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp XÝch L©n(2)	0	99999	10	0	30	360	360	31	85	85																36	160	39	4									958	857	978	1020	1337	1297	251	192	2	1430	1277									4207
XÝch L©n V©n Anh Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring25.spr	37	1	1	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp XÝch L©n(3)	2	99999	10	0																						36	160	39	4									957	897	977	1200	1337	1297	251	192	3	130										4208
XÝch L©n V©n Anh Hé UyÓn	0	8	0	\spr\item\equip\bangle\obj-bangle23.spr	35	1	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp XÝch L©n(4)	1	99999	10	0	30	135	135	31	80	80																36	160	39	4									958	877	978	1020	1337	1297	251	192	4	1430	1277									4209
XÝch L©n V©n Anh Thóc Yªu	0	6	1	\spr\item\equip\sash\obj-sash23.spr	33	2	1	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp XÝch L©n(5)	3	99999	10	0	30	160	160	31	80	80																36	160	39	4									958	917	977	1220	1337	1297	251	192	5	1649	1277									4210
XÝch L©n V©n Anh Sam	0	2	10	\spr\item\equip\armor\obj-fm-cloth23.spr	24	2	3	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp XÝch L©n(6)	4	99999	10	0	30	720	720	31	90	90																36	160	39	4									958	937	977	1180	2725	1297	251	192	6	1430	1277									4211
XÝch L©n V©n Anh TriÒn Thñ	0	0	6	\spr\item\equip\closeweapon\obj-glove02.spr	9	1	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp XÝch L©n(7)	0	99999	10	0	28	60	60	29	100	100	167	-30	-30	31	99	99										36	160	39	4									2720	857	1120	1020	1337	1297	251	192	7	1430	130									4212
XÝch L©n V©n Anh Ngoa	0	5	3	\spr\item\equip\boots\obj-shoes23.spr	27	2	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp XÝch L©n(8)	2	99999	10	0	30	160	160	31	80	80																36	160	39	4									958	897	977	1200	1260	1297	251	192	8	1430	1410									4213
XÝch L©n V©n Anh H­¬ng Nang	0	9	0	\spr\item\equip\waist\obj-waist27.spr	36	1	2	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp XÝch L©n(9)	1	99999	10	0																						36	160	39	4									957	877	978	1020	1337	1297	251	192	9	1650	1277									4214
XÝch L©n V©n Anh H¹ Giíi	0	3	0	\spr\item\equip\ring\obj-ring26.spr	37	1	1	Bé trang bÞ Nga Mi ch­ëng ph¸p cÊp XÝch L©n(10)	3	99999	10	0																						36	160	39	4									957	917	978	1220	1337	1297	251	192	10	130										4215
XÝch L©n Minh NguyÖt Ch©u Liªn	0	4	0	\spr\item\equip\nick\obj-neck26.spr	36	2	1	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp XÝch L©n(1)	4	99999	10	0																						36	160	39	5									957	857	977	1020	1000	1297	252	193	1	1652	1277									4216
XÝch L©n Minh NguyÖt Tr©m	0	7	9	\spr\item\equip\cap\obj-fm-cap22.spr	28	2	2	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp XÝch L©n(2)	0	99999	10	0	30	360	360	31	85	85																36	160	39	5									958	897	978	1200	1337	1297	252	193	2	1430	1277									4217
XÝch L©n Minh NguyÖt Th­îng Giíi	0	3	0	\spr\item\equip\ring\obj-ring25.spr	37	1	1	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp XÝch L©n(3)	2	99999	10	0																						36	160	39	5									957	877	977	1020	1337	1297	252	193	3	130										4218
XÝch L©n Minh NguyÖt Tô	0	8	0	\spr\item\equip\bangle\obj-bangle23.spr	35	1	2	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp XÝch L©n(4)	1	99999	10	0	30	135	135	31	80	80																36	160	39	5									958	917	978	1220	1337	1297	252	193	4	1430	1411									4219
XÝch L©n Minh NguyÖt Ti §¸i	0	6	0	\spr\item\equip\sash\obj-sash23.spr	32	2	1	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp XÝch L©n(5)	3	99999	10	0	30	160	160	31	80	80																36	160	39	5									958	937	977	1180	1337	1297	252	193	5	1653	1277									4220
XÝch L©n Minh NguyÖt Sam	0	2	9	\spr\item\equip\armor\obj-fm-cloth23.spr	24	2	3	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp XÝch L©n(6)	4	99999	10	0	30	720	720	31	90	90																36	160	39	5									958	857	977	1020	2724	1297	252	193	6	1430	1277									4221
XÝch L©n Minh NguyÖt §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade25.spr	10	1	4	Bé trang bÞ Thóy Yªn ®ao ph¸p cÊp XÝch L©n(7)	0	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	160	39	5									2715	897	1080	1200	1337	1297	252	193	7	1430	130									4222
