Ãû³Æ	µÀ¾ßÖÖÀà	¾ßÌåÀà±ð	ÏêÏ¸Àà±ð	¶¯»­ÎÄ¼þÃû	¶ÔÓ¦Îï¼þË÷Òý	¿í¶È	¸ß¶È	ËµÃ÷ÎÄ×Ö	ÎåÐÐÊôÐÔ	¼Û¸ñ	µÈ¼¶	ÊÇ·ñµþ·Å	»ù´¡ÊôÐÔ1ÀàÐÍ	»ù´¡ÊôÐÔ1×îÐ¡Öµ	»ù´¡ÊôÐÔ1×î´óÖµ	»ù´¡ÊôÐÔ2ÀàÐÍ	»ù´¡ÊôÐÔ2×îÐ¡Öµ	»ù´¡ÊôÐÔ2×î´óÖµ	»ù´¡ÊôÐÔ3ÀàÐÍ	»ù´¡ÊôÐÔ3×îÐ¡Öµ	»ù´¡ÊôÐÔ3×î´óÖµ	»ù´¡ÊôÐÔ4ÀàÐÍ	»ù´¡ÊôÐÔ4×îÐ¡Öµ	»ù´¡ÊôÐÔ4×î´óÖµ	»ù´¡ÊôÐÔ5ÀàÐÍ	»ù´¡ÊôÐÔ5×îÐ¡Öµ	»ù´¡ÊôÐÔ5×î´óÖµ	»ù´¡ÊôÐÔ6ÀàÐÍ	»ù´¡ÊôÐÔ6×îÐ¡Öµ	»ù´¡ÊôÐÔ6×î´óÖµ	»ù´¡ÊôÐÔ7ÀàÐÍ	»ù´¡ÊôÐÔ7×îÐ¡Öµ	»ù´¡ÊôÐÔ7×î´óÖµ	ÐèÇóÊôÐÔ1ÀàÐÍ	ÐèÇóÊôÐÔ1ÊýÖµ	ÐèÇóÊôÐÔ2ÀàÐÍ	ÐèÇóÊôÐÔ2ÊýÖµ	ÐèÇóÊôÐÔ3ÀàÐÍ	ÐèÇóÊôÐÔ3ÊýÖµ	ÐèÇóÊôÐÔ4ÀàÐÍ	ÐèÇóÊôÐÔ4ÊýÖµ	ÐèÇóÊôÐÔ5ÀàÐÍ	ÐèÇóÊôÐÔ5ÊýÖµ	ÐèÇóÊôÐÔ6ÀàÐÍ	ÐèÇóÊôÐÔ6ÊýÖµ	Ä§·¨ÊôÐÔË÷Òý1(0¼¶)	Ä§·¨ÊôÐÔË÷Òý1(10¼¶)	Ä§·¨ÊôÐÔË÷Òý2(0¼¶)	Ä§·¨ÊôÐÔË÷Òý2(10¼¶)	Ä§·¨ÊôÐÔË÷Òý3(0¼¶)	Ä§·¨ÊôÐÔË÷Òý3(10¼¶)	Ä§·¨ÊôÐÔË÷Òý4(0¼¶)	Ä§·¨ÊôÐÔË÷Òý4(10¼¶)	Ä§·¨ÊôÐÔË÷Òý5(0¼¶)	Ä§·¨ÊôÐÔË÷Òý5(10¼¶)	Ä§·¨ÊôÐÔË÷Òý6(0¼¶)	Ä§·¨ÊôÐÔË÷Òý6(10¼¶)	ËùÔÚÌ××°	6¼¶¼¼ÄÜID	10¼¶¼¼ÄÜID	À©Õ¹Ì××°	À©Õ¹Ì××°ÐòºÅ	À©Õ¹Ì××°Òþ²ØÊôÐÔ1	À©Õ¹Ì××°Òþ²ØÊôÐÔ2	¿ÉÈÛÁ¶ÊôÐÔÊýÁ¿	¿ÉÈÛÁ¶ÎÆ¸ÖÆ·ÖÊ	»ù´¡±ø¼×Öµ	ÊÇ·ñ¿ÉÉýÐÇ×°±¸	¿ÉÏâÇ¶ÐÇ³½Ê¯ÊýÁ¿	×°±¸Í»ÆÆ×£¸£Öµ	×¢ÁéÎ»ÖÃÊýÁ¿	ÏÔÊ¾Í¼±êID
[HuyÒn Kim] §»ng Long Viªm Hoµng Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle31.spr	34	1	2	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ Thiªn NhÉn M©u Ph¸p mãn thø 4"	3	99999	10	0	30	135	135	31	80	80																36	120	39	7									962	963	919	920	980	981	1222	1223	1339	1340	1303	1304	307			248	4	1685	1279	3	10	8000					
[HuyÒn Kim] §»ng Long Viªm Hoµng Yªu §¸i	0	6	1	\spr\item\equip\sash\obj-sash31.spr	33	2	1	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ Thiªn NhÉn M©u Ph¸p mãn thø 5"	4	99999	10	0	30	160	160	31	80	80																36	120	39	7									962	963	939	940	979	980	1182	1183	1339	1340	1303	1304	307			248	5	1432	1420	3	10	8000					
[HuyÒn Kim] §»ng Long Viªm Hoµng Gi¸p	0	2	16	\spr\item\equip\armor\obj-ma-cloth32.spr	23	2	3	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ Thiªn NhÉn M©u Ph¸p mãn thø 6"	0	99999	10	0	30	720	720	31	90	90																36	120	39	7									962	963	859	860	979	980	1022	1023	2724	2724	3555	3556	307			248	6	1432	1279	3	10	8000					
[HuyÒn Kim] §»ng Long Viªm Hoµng Th­¬ng	0	0	3	\spr\item\equip\closeweapon\obj-staff26.spr	12	1	4	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ Thiªn NhÉn M©u Ph¸p mãn thø 7"	2	99999	10	0	28	18	18	29	158	158	167	-30	-30	31	99	99										36	120	39	7									2716	2716	899	900	1082	1083	1202	1203	1324	1325	3555	3556	307			248	7	1432	130	3	10	8000					
[HuyÒn Kim] §»ng Long Viªm Hoµng Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes35.spr	26	2	2	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ Thiªn NhÉn M©u Ph¸p mãn thø 8"	1	99999	10	0	30	160	160	31	80	80																36	120	39	7									962	963	879	880	979	980	1022	1023	1262	1263	1303	1304	307			248	8	1432	1279	3	10	8000					
[HuyÒn Kim] §»ng Long Viªm Hoµng Béi	0	9	1	\spr\item\equip\waist\obj-waist31.spr	36	1	2	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ Thiªn NhÉn M©u Ph¸p mãn thø 9"	3	99999	10	0																						36	120	39	7									961	962	919	920	980	981	1222	1223	1339	1340	1303	1304	307			248	9	1686	1279	3	10	8000					
[HuyÒn Kim] §»ng Long Viªm Hoµng HuyÕt Thó Bµn ChØ	0	3	0	\spr\item\equip\ring\obj-ring30.spr	37	1	1	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ Thiªn NhÉn M©u Ph¸p mãn thø 10"	4	99999	10	0																						36	120	39	7									961	962	939	940	980	981	1182	1183	1339	1340	1303	1304	307			248	10	130		3	10	8000					
[HuyÒn Kim] §»ng Long PhÇn Thiªn H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck30.spr	36	2	1	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ Thiªn NhÉn §ao Ph¸p mãn thø 1"	1	99999	10	0																						36	120	39	7									961	962	859	860	979	980	1022	1023	1002	1003	1303	1304	308			249	1	1688	1279	3	10	8000					
[HuyÒn Kim] §»ng Long PhÇn Thiªn Qu¸n MiÖn	0	7	2	\spr\item\equip\cap\obj-ma-cap32.spr	28	2	2	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ Thiªn NhÉn §ao Ph¸p mãn thø 2"	3	99999	10	0	30	360	360	31	85	85																36	120	39	7									962	963	899	900	980	981	1202	1203	1339	1340	3555	3556	308			249	2	1432	1421	3	10	8000					
[HuyÒn Kim] §»ng Long PhÇn Thiªn Dung Nham ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring30.spr	37	1	1	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ Thiªn NhÉn §ao Ph¸p mãn thø 3"	4	99999	10	0																						36	120	39	7									961	962	879	880	979	980	1022	1023	1339	1340	1303	1304	308			249	3	130		3	10	8000					
[HuyÒn Kim] §»ng Long PhÇn Thiªn Hé UyÓn	0	8	1	\spr\item\equip\bangle\obj-bangle31.spr	34	1	2	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ Thiªn NhÉn §ao Ph¸p mãn thø 4"	0	99999	10	0	30	135	135	31	80	80																36	120	39	7									962	963	919	920	980	981	1222	1223	1339	1340	1303	1304	308			249	4	1689	1279	3	10	8000					
[HuyÒn Kim] §»ng Long PhÇn Thiªn Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash31.spr	33	2	1	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ Thiªn NhÉn §ao Ph¸p mãn thø 5"	2	99999	10	0	30	160	160	31	80	80																36	120	39	7									962	963	939	940	979	980	1182	1183	1339	1340	1303	1304	308			249	5	1432	1279	3	10	8000					
[HuyÒn Kim] §»ng Long PhÇn Thiªn Gi¸p Y	0	2	16	\spr\item\equip\armor\obj-ma-cloth32.spr	23	2	3	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ Thiªn NhÉn §ao Ph¸p mãn thø 6"	1	99999	10	0	30	720	720	31	90	90																36	120	39	7									962	963	859	860	979	980	1022	1023	2724	2724	3555	3556	308			249	6	1432	1279	3	10	8000					
[HuyÒn Kim] §»ng Long PhÇn Thiªn B¶o §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade31.spr	10	1	4	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ Thiªn NhÉn §ao Ph¸p mãn thø 7"	3	99999	10	0	28	40	40	29	100	100	167	-30	-30	31	99	99										36	120	39	7									2719	2719	899	900	1142	1143	1202	1203	1341	1342	3555	3556	308			249	7	1432	130	3	10	8000					
[HuyÒn Kim] §»ng Long PhÇn Thiªn Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes35.spr	26	2	2	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ Thiªn NhÉn §ao Ph¸p mãn thø 8"	4	99999	10	0	30	160	160	31	80	80																36	120	39	7									962	963	879	880	979	980	1022	1023	1262	1263	1303	1304	308			249	8	1432	1279	3	10	8000					
[HuyÒn Kim] §»ng Long PhÇn Thiªn Béi	0	9	1	\spr\item\equip\waist\obj-waist31.spr	34	1	2	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ Thiªn NhÉn §ao Ph¸p mãn thø 9"	0	99999	10	0																						36	120	39	7									961	962	919	920	980	981	1222	1223	1339	1340	1303	1304	308			249	9	1690	1279	3	10	8000					
[HuyÒn Kim] §»ng Long PhÇn Thiªn D­¬ng Viªm ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring30.spr	37	1	1	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ Thiªn NhÉn §ao Ph¸p mãn thø 10"	2	99999	10	0																						36	120	39	7									961	962	939	940	980	981	1182	1183	1339	1340	1303	1304	308			249	10	130		3	10	8000					
[HuyÒn Kim] §»ng Long Ngäc H­ Phï	0	4	1	\spr\item\equip\nick\obj-neck31.spr	36	2	1	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ Vâ §ang Ch­ëng Ph¸p mãn thø 1"	3	99999	10	0																						36	120	39	8									961	962	859	860	979	980	1222	1223	1002	1003	1303	1304	309			250	1	1692	1279	3	10	8000					
[HuyÒn Kim] §»ng Long Ngäc H­ Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap34.spr	28	2	2	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ Vâ §ang Ch­ëng Ph¸p mãn thø 2"	4	99999	10	0	30	360	360	31	85	85																36	120	39	8									962	963	899	900	980	981	1182	1183	1339	1340	3560	3561	309			250	2	1756	1279	3	10	8000					
[HuyÒn Kim] §»ng Long Ngäc H­ VÜnh Sinh ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring31.spr	37	1	1	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ Vâ §ang Ch­ëng Ph¸p mãn thø 3"	0	99999	10	0																						36	120	39	8									961	962	879	880	979	980	1022	1023	1339	1340	1303	1304	309			250	3	130		3	10	8000					
[HuyÒn Kim] §»ng Long Ngäc H­ Tô	0	8	1	\Spr\item\equip\bangle\obj-bangle32.spr	34	1	2	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ Vâ §ang Ch­ëng Ph¸p mãn thø 4"	2	99999	10	0	30	135	135	31	80	80																36	120	39	8									962	963	919	920	980	981	1202	1203	1339	1340	1303	1304	309			250	4	1756	1279	3	10	8000					
[HuyÒn Kim] §»ng Long Ngäc H­ Ph¸p §¸i	0	6	1	\spr\item\equip\sash\obj-sash32.spr	33	2	1	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ Vâ §ang Ch­ëng Ph¸p mãn thø 5"	1	99999	10	0	30	160	160	31	80	80																36	120	39	8									962	963	939	940	979	980	1022	1023	1339	1340	1303	1304	309			250	5	1693	1279	3	10	8000					
[HuyÒn Kim] §»ng Long Ngäc H­ §¹o Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth34.spr	24	2	3	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ Vâ §ang Ch­ëng Ph¸p mãn thø 6"	3	99999	10	0	30	720	720	31	90	90																36	120	39	8									962	963	859	860	979	980	1222	1223	2724	2724	3560	3561	309			250	6	1756	1279	3	10	8000					
[HuyÒn Kim] §»ng Long Ngäc H­ ThÇn KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword28.spr	9	1	3	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ Vâ §ang Ch­ëng Ph¸p mãn thø 7"	4	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	120	39	8									2719	2719	899	900	1162	1163	1182	1183	1341	1342	3560	3561	309			250	7	1756	130	3	10	8000					
[HuyÒn Kim] §»ng Long Ngäc H­ Lý	0	5	0	\spr\item\equip\boots\obj-shoes36.spr	26	2	2	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ Vâ §ang Ch­ëng Ph¸p mãn thø 8"	0	99999	10	0	30	160	160	31	80	80																36	120	39	8									962	963	879	880	979	980	1022	1023	1262	1263	1303	1304	309			250	8	1694	1279	3	10	8000					
[HuyÒn Kim] §»ng Long Ngäc H­ Ngäc Béi	0	9	1	\spr\item\equip\waist\obj-waist32.spr	36	1	2	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ Vâ §ang Ch­ëng Ph¸p mãn thø 9"	2	99999	10	0																						36	120	39	8									961	962	919	920	980	981	1202	1203	1339	1340	1303	1304	309			250	9	1756	1422	3	10	8000					
[HuyÒn Kim] §»ng Long Ngäc H­ §¹o Hµnh ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring31.spr	37	1	1	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ Vâ §ang Ch­ëng Ph¸p mãn thø 10"	1	99999	10	0																						36	120	39	8									961	962	939	940	980	981	1022	1023	1339	1340	1303	1304	309			250	10	130		3	10	8000					
[HuyÒn Kim] §»ng Long HuyÒn Thiªn Phï	0	4	1	\spr\item\equip\nick\obj-neck31.spr	36	2	1	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ Vâ §ang KiÕm Ph¸p mãn thø 1"	0	99999	10	0																						36	120	39	8									961	962	859	860	979	980	1222	1223	1002	1003	1303	1304	310			251	1	1696	1279	3	10	8000					
[HuyÒn Kim] §»ng Long HuyÒn Thiªn Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap34.spr	28	2	2	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ Vâ §ang KiÕm Ph¸p mãn thø 2"	2	99999	10	0	30	360	360	31	85	85																36	120	39	8									962	963	899	900	980	981	1182	1183	1339	1340	3560	3561	310			251	2	1756	1279	3	10	8000					
[HuyÒn Kim] §»ng Long HuyÒn Thiªn H»ng Cöu Ph¸p Giíi	0	3	0	\spr\item\equip\ring\obj-ring31.spr	37	1	1	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ Vâ §ang KiÕm Ph¸p mãn thø 3"	1	99999	10	0																						36	120	39	8									961	962	879	880	979	980	1022	1023	1339	1340	1303	1304	310			251	3	130		3	10	8000					
[HuyÒn Kim] §»ng Long HuyÒn Thiªn Tô	0	8	1	\Spr\item\equip\bangle\obj-bangle32.spr	34	1	2	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ Vâ §ang KiÕm Ph¸p mãn thø 4"	3	99999	10	0	30	135	135	31	80	80																36	120	39	8									962	963	919	920	980	981	1202	1203	1339	1340	1303	1304	310			251	4	1756	1423	3	10	8000					
[HuyÒn Kim] §»ng Long HuyÒn Thiªn Ph¸p §¸i	0	6	0	\spr\item\equip\sash\obj-sash32.spr	32	2	1	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ Vâ §ang KiÕm Ph¸p mãn thø 5"	4	99999	10	0	30	160	160	31	80	80																36	120	39	8									962	963	939	940	979	980	1022	1023	1339	1340	1303	1304	310			251	5	1697	1279	3	10	8000					
[HuyÒn Kim] §»ng Long HuyÒn Thiªn §¹o Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth34.spr	24	2	3	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ Vâ §ang KiÕm Ph¸p mãn thø 6"	0	99999	10	0	30	720	720	31	90	90																36	120	39	8									962	963	859	860	979	980	1222	1223	2724	2724	3560	3561	310			251	6	1756	1279	3	10	8000					
[HuyÒn Kim] §»ng Long HuyÒn Thiªn ThÇn KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword30.spr	9	1	3	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ Vâ §ang KiÕm Ph¸p mãn thø 7"	2	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	120	39	8									2715	2715	899	900	1082	1083	1182	1183	1324	1325	3560	3561	310			251	7	1756	130	3	10	8000					
[HuyÒn Kim] §»ng Long HuyÒn Thiªn Lý	0	5	0	\spr\item\equip\boots\obj-shoes36.spr	26	2	2	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ Vâ §ang KiÕm Ph¸p mãn thø 8"	1	99999	10	0	30	160	160	31	80	80																36	120	39	8									962	963	879	880	979	980	1022	1023	1262	1263	1303	1304	310			251	8	1756	1279	3	10	8000					
[HuyÒn Kim] §»ng Long HuyÒn Thiªn Ngäc Béi	0	9	1	\spr\item\equip\waist\obj-waist32.spr	36	1	2	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ Vâ §ang KiÕm Ph¸p mãn thø 9"	3	99999	10	0																						36	120	39	8									961	962	919	920	980	981	1202	1203	1339	1340	1303	1304	310			251	9	1698	1279	3	10	8000					
[HuyÒn Kim] §»ng Long HuyÒn Thiªn BÊt DiÖt Ph¸p Giíi	0	3	0	\spr\item\equip\ring\obj-ring31.spr	37	1	1	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ Vâ §ang KiÕm Ph¸p mãn thø 10"	4	99999	10	0																						36	120	39	8									961	962	939	940	980	981	1022	1023	1339	1340	1303	1304	310			251	10	130		3	10	8000					
[HuyÒn Kim] §»ng Long Ph­¬ng Nguyªn H¹ng Liªn	0	4	1	\spr\item\equip\nick\obj-neck31.spr	36	2	1	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ C«n L«n §ao Ph¸p mãn thø 1"	0	99999	10	0																						36	120	39	9									961	962	859	860	979	980	1022	1023	1002	1003	1303	1304	311			252	1	1700	1279	3	10	8000					
[HuyÒn Kim] §»ng Long Ph­¬ng Nguyªn §¹o Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap35.spr	28	2	2	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ C«n L«n §ao Ph¸p mãn thø 2"	2	99999	10	0	30	360	360	31	85	85																36	120	39	9									962	963	899	900	980	981	1202	1203	1339	1340	3565	3566	311			252	2	1432	1279	3	10	8000					
[HuyÒn Kim] §»ng Long Ph­¬ng Nguyªn Trïng D­¬ng Giíi	0	3	0	\spr\item\equip\ring\obj-ring31.spr	37	1	1	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ C«n L«n §ao Ph¸p mãn thø 3"	1	99999	10	0																						36	120	39	9									961	962	879	880	979	980	1022	1023	1339	1340	1303	1304	311			252	3	130		3	10	8000					
[HuyÒn Kim] §»ng Long Ph­¬ng Nguyªn Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle32.spr	34	1	2	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ C«n L«n §ao Ph¸p mãn thø 4"	3	99999	10	0	30	135	135	31	80	80																36	120	39	9									962	963	919	920	980	981	1222	1223	1339	1340	1303	1304	311			252	4	1432	1424	3	10	8000					
[HuyÒn Kim] §»ng Long Ph­¬ng Nguyªn Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash32.spr	33	2	1	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ C«n L«n §ao Ph¸p mãn thø 5"	4	99999	10	0	30	160	160	31	80	80																36	120	39	9									962	963	939	940	979	980	1182	1183	1339	1340	1303	1304	311			252	5	1701	1279	3	10	8000					
[HuyÒn Kim] §»ng Long Ph­¬ng Nguyªn §¹o Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth35.spr	24	2	3	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ C«n L«n §ao Ph¸p mãn thø 6"	0	99999	10	0	30	720	720	31	90	90																36	120	39	9									962	963	859	860	979	980	1022	1023	2724	2724	3565	3566	311			252	6	1432	1279	3	10	8000					
[HuyÒn Kim] §»ng Long Ph­¬ng Nguyªn B¶o §ao	0	0	1	\spr\item\equip\closeweapon\obj-blade32.spr	10	1	3	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ C«n L«n §ao Ph¸p mãn thø 7"	2	99999	10	0	28	40	40	29	114	114	167	-30	-30	31	99	99										36	120	39	9									2716	2716	899	900	1082	1083	1202	1203	1324	1325	3565	3566	311			252	7	1432	130	3	10	8000					
[HuyÒn Kim] §»ng Long Ph­¬ng Nguyªn Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes37.spr	26	2	2	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ C«n L«n §ao Ph¸p mãn thø 8"	1	99999	10	0	30	160	160	31	80	80																36	120	39	9									962	963	879	880	979	980	1022	1023	1262	1263	1303	1304	311			252	8	1432	1279	3	10	8000					
[HuyÒn Kim] §»ng Long Ph­¬ng Nguyªn Béi	0	9	1	\spr\item\equip\waist\obj-waist32.spr	36	1	2	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ C«n L«n §ao Ph¸p mãn thø 9"	3	99999	10	0																						36	120	39	9									961	962	919	920	980	981	1222	1223	1339	1340	1303	1304	311			252	9	1702	1279	3	10	8000					
[HuyÒn Kim] §»ng Long Ph­¬ng Nguyªn Cµn Kh«n Giíi	0	3	0	\spr\item\equip\ring\obj-ring31.spr	37	1	1	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ C«n L«n §ao Ph¸p mãn thø 10"	4	99999	10	0																						36	120	39	9									961	962	939	940	980	981	1182	1183	1339	1340	1303	1304	311			252	10	130		3	10	8000					
[HuyÒn Kim] §»ng Long Th­¬ng Khung Phï	0	4	1	\spr\item\equip\nick\obj-neck31.spr	36	2	1	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ C«n L«n KiÕm Ph¸p mãn thø 1"	3	99999	10	0																						36	120	39	9									961	962	859	860	979	980	1022	1023	1002	1003	1303	1304	312			253	1	1704	1279	3	10	8000					
[HuyÒn Kim] §»ng Long Th­¬ng Khung §¹o Qu¸n	0	7	1	\spr\item\equip\cap\obj-ma-cap35.spr	28	2	2	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ C«n L«n KiÕm Ph¸p mãn thø 2"	4	99999	10	0	30	360	360	31	85	85																36	120	39	9									962	963	899	900	980	981	1202	1203	1339	1340	3565	3566	312			253	2	1432	1279	3	10	8000					
[HuyÒn Kim] §»ng Long Th­¬ng Khung Linh Ngäc ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring31.spr	37	1	1	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ C«n L«n KiÕm Ph¸p mãn thø 3"	0	99999	10	0																						36	120	39	9									961	962	879	880	979	980	1022	1023	1339	1340	1303	1304	312			253	3	130		3	10	8000					
[HuyÒn Kim] §»ng Long Th­¬ng Khung Hé UyÓn	0	8	1	\Spr\item\equip\bangle\obj-bangle32.spr	34	1	2	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ C«n L«n KiÕm Ph¸p mãn thø 4"	2	99999	10	0	30	135	135	31	80	80																36	120	39	9									962	963	919	920	980	981	1222	1223	1339	1340	1303	1304	312			253	4	1432	1425	3	10	8000					
[HuyÒn Kim] §»ng Long Th­¬ng Khung Yªu §¸i	0	6	0	\spr\item\equip\sash\obj-sash32.spr	32	2	1	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ C«n L«n KiÕm Ph¸p mãn thø 5"	1	99999	10	0	30	160	160	31	80	80																36	120	39	9									962	963	939	940	979	980	1182	1183	1339	1340	1303	1304	312			253	5	1705	1279	3	10	8000					
[HuyÒn Kim] §»ng Long Th­¬ng Khung §¹o Bµo	0	2	1	\spr\item\equip\armor\obj-ma-cloth35.spr	24	2	3	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ C«n L«n KiÕm Ph¸p mãn thø 6"	3	99999	10	0	30	720	720	31	90	90																36	120	39	9									962	963	859	860	979	980	1022	1023	2724	2724	3565	3566	312			253	6	1432	1279	3	10	8000					
[HuyÒn Kim] §»ng Long Th­¬ng Khung ThÇn KiÕm	0	0	0	\spr\item\equip\closeweapon\obj-sword29.spr	9	1	3	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ C«n L«n KiÕm Ph¸p mãn thø 7"	4	99999	10	0	28	46	46	29	86	86	167	-30	-30	31	99	99										36	120	39	9									2720	2720	899	900	1162	1163	1202	1203	1341	1342	3565	3566	312			253	7	1432	130	3	10	8000					
[HuyÒn Kim] §»ng Long Th­¬ng Khung Ngoa	0	5	0	\spr\item\equip\boots\obj-shoes37.spr	26	2	2	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ C«n L«n KiÕm Ph¸p mãn thø 8"	0	99999	10	0	30	160	160	31	80	80																36	120	39	9									962	963	879	880	979	980	1022	1023	1262	1263	1303	1304	312			253	8	1432	1279	3	10	8000					
[HuyÒn Kim] §»ng Long Th­¬ng Khung Béi	0	9	1	\spr\item\equip\waist\obj-waist32.spr	36	1	2	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ C«n L«n KiÕm Ph¸p mãn thø 9"	2	99999	10	0																						36	120	39	9									961	962	919	920	980	981	1222	1223	1339	1340	1303	1304	312			253	9	1706	1279	3	10	8000					
[HuyÒn Kim] §»ng Long Th­¬ng Khung D­¬ng Chi ChØ Hoµn	0	3	0	\spr\item\equip\ring\obj-ring31.spr	37	1	1	"Trang bÞ HuyÒn Kim, §»ng Long bé trang bÞ C«n L«n KiÕm Ph¸p mãn thø 10"	1	99999	10	0																						36	120	39	9									961	962	939	940	980	981	1182	1183	1339	1340	1303	1304	312			253	10	130		3	10	8000					
Hoµng Kim Ên (C­êng hãa)	0	13	0	\spr\item\script\wuxingyin_1.spr	37	1	1	T¨ng hiÖu qu¶ t­¬ng kh¾c cña ngò hµnh	5	0	1	0																						36	120																										254	1										
Hoµng Kim Ên (C­êng hãa)	0	13	0	\spr\item\script\wuxingyin_1.spr	37	1	1	T¨ng hiÖu qu¶ t­¬ng kh¾c cña ngò hµnh	5	0	2	0																						36	120																										255	1										
Hoµng Kim Ên (C­êng hãa)	0	13	0	\spr\item\script\wuxingyin_1.spr	37	1	1	T¨ng hiÖu qu¶ t­¬ng kh¾c cña ngò hµnh	5	0	3	0																						36	120																										256	1										
Hoµng Kim Ên (C­êng hãa)	0	13	0	\spr\item\script\wuxingyin_1.spr	37	1	1	T¨ng hiÖu qu¶ t­¬ng kh¾c cña ngò hµnh	5	0	4	0																						36	120																										257	1										
