EqType	FightStand	NormalStand1	NormalStand2	FightWalk	NormalWalk	FightRun	NormalRun	Wound	Die	Attack1	Attack2	Magic	SitDown	JunpFly
英豪之武当剑	MeleeWStand	FreeStand2	FreeStand1	MeleeWWalk	MeleeWWalk	MeleeWRun	MeleeWRun	MeleeWWound	MeleeWDie	MeleeWCut	MeleeWPuncture	MeleeWMagic	SitDown	JumpFly
英豪之昆仑刀	MeleeWStand	FreeStand2	FreeStand1	MeleeWWalk	MeleeWWalk	MeleeWRun	MeleeWRun	MeleeWWound	MeleeWDie	MeleeWCut	MeleeWPuncture	MeleeWMagic	SitDown	JumpFly
英豪之昆仑剑	MeleeWStand	FreeStand2	FreeStand1	MeleeWWalk	MeleeWWalk	MeleeWRun	MeleeWRun	MeleeWWound	MeleeWDie	MeleeWCut	MeleeWPuncture	MeleeWMagic	SitDown	JumpFly
英豪之华山剑	MeleeWStand	FreeStand2	FreeStand1	MeleeWWalk	MeleeWWalk	MeleeWRun	MeleeWRun	MeleeWWound	MeleeWDie	MeleeWCut	MeleeWPuncture	MeleeWMagic	SitDown	JumpFly
英豪之华山剑	MeleeWStand	FreeStand2	FreeStand1	MeleeWWalk	MeleeWWalk	MeleeWRun	MeleeWRun	MeleeWWound	MeleeWDie	MeleeWCut	MeleeWPuncture	MeleeWMagic	SitDown	JumpFly
英豪之武魂盾法	SwordShieldWStand	SwordShieldWFreeStand	SwordShieldWFreeStand	SwordShieldWWalk	SwordShieldWWalk	SwordShieldWRun	SwordShieldWRun	SwordShieldWWound	SwordShieldWDie	SwordShieldWChop	SwordShieldWCut	SwordShieldWMagic	SitDown	JumpFly
英豪之武魂刀法	ShieldSwordWStand	ShieldSwordWFreeStand	ShieldSwordWFreeStand	ShieldSwordWWalk	ShieldSwordWWalk	ShieldSwordWRun	ShieldSwordWRun	ShieldSwordWWound	ShieldSwordWDie	ShieldSwordWChop	ShieldSwordWCut	ShieldSwordWMagic	SitDown	JumpFly
逍遥剑1	MeleeWStand	FreeStand2	FreeStand1	MeleeWWalk	MeleeWWalk	MeleeWRun	MeleeWRun	MeleeWWound	MeleeWDie	MeleeWCut	MeleeWPuncture	MeleeWMagic	SitDown	JumpFly
逍遥剑2	MeleeWStand	FreeStand2	FreeStand1	MeleeWWalk	MeleeWWalk	MeleeWRun	MeleeWRun	MeleeWWound	MeleeWDie	MeleeWCut	MeleeWPuncture	MeleeWMagic	SitDown	JumpFly
逍遥剑3	MeleeWStand	FreeStand2	FreeStand1	MeleeWWalk	MeleeWWalk	MeleeWRun	MeleeWRun	MeleeWWound	MeleeWDie	MeleeWCut	MeleeWPuncture	MeleeWMagic	SitDown	JumpFly
逍遥剑4	MeleeWStand	FreeStand2	FreeStand1	MeleeWWalk	MeleeWWalk	MeleeWRun	MeleeWRun	MeleeWWound	MeleeWDie	MeleeWCut	MeleeWPuncture	MeleeWMagic	SitDown	JumpFly
逍遥琴1	GuqinWStand1	GuqinWStand2	GuqinWStand2	GuqinWWalk	GuqinWWalk	GuqinWRun	GuqinWRun	GuqinWWound	GuqinWDie	GuqinWPuncture	GuqinWPuncture	GuqinWMagic	SitDown	JumpFly
逍遥琴2	GuqinWStand1	GuqinWStand2	GuqinWStand2	GuqinWWalk	GuqinWWalk	GuqinWRun	GuqinWRun	GuqinWWound	GuqinWDie	GuqinWPuncture	GuqinWPuncture	GuqinWMagic	SitDown	JumpFly
逍遥琴3	GuqinWStand1	GuqinWStand2	GuqinWStand2	GuqinWWalk	GuqinWWalk	GuqinWRun	GuqinWRun	GuqinWWound	GuqinWDie	GuqinWPuncture	GuqinWPuncture	GuqinWMagic	SitDown	JumpFly
逍遥琴4	GuqinWStand1	GuqinWStand2	GuqinWStand2	GuqinWWalk	GuqinWWalk	GuqinWRun	GuqinWRun	GuqinWWound	GuqinWDie	GuqinWPuncture	GuqinWPuncture	GuqinWMagic	SitDown	JumpFly
Null														
