效果	是否前缀	五行要求	等级要求	属性调整类别	参数1最小值	参数1最大值	参数2最小值	参数2最大值	参数3最小值	参数3最大值	效果说明
武烈抵消伤害				237	68	68	-1	-1	0	0	0
武烈攻击加成				243	58	58	-1	-1	0	0	0
武烈打击回复67				245	67	67	-1	-1	0	0	0
武烈打击回复76				245	76	76	-1	-1	0	0	0
武烈跑速				111	85	85	-1	-1	0	0	0
武烈格挡				226	5	5	-1	-1	0	0	0
武烈重击				227	5	5	-1	-1	0	0	0
武烈生命回复效率				190	25	25	-1	-1	0	0	0
猛虎啸牙1				139	1	1	-1	-1	1456	1456	0
猛虎啸牙2				139	1	1	-1	-1	1458	1458	0
猛虎啸牙3				139	1	1	-1	-1	1460	1460	0
猛虎啸牙4				139	1	1	-1	-1	1462	1462	0
猛虎啸牙5				139	1	1	-1	-1	1464	1464	0
龙骧生命760				233	760	760	-1	-1	0	0	0
龙骧生命840				233	840	840	-1	-1	0	0	0
龙骧内力760				235	760	760	-1	-1	0	0	0
龙骧内力840				235	840	840	-1	-1	0	0	0
龙骧普防				231	60	60	-1	-1	0	0	0
龙骧毒防				228	60	60	-1	-1	0	0	0
龙骧冰防				232	60	60	-1	-1	0	0	0
龙骧火防				230	60	60	-1	-1	0	0	0
龙骧土防				229	60	60	-1	-1	0	0	0
龙骧减毒				108	85	85	-1	-1	0	0	0
龙骧减冰				106	85	85	-1	-1	0	0	0
龙骧减晕				110	85	85	-1	-1	0	0	0
龙骧抵消伤害				237	60	60	-1	-1	0	0	0
龙骧全抗				241	30	30	-1	-1	0	0	0
龙骧攻击加成45				243	45	45	-1	-1	0	0	0
龙骧打击回复				245	76	76	-1	-1	0	0	0
龙骧跑速				111	80	80	-1	-1	0	0	0
龙骧格挡				226	3	3	-1	-1	0	0	0
龙骧重击				227	3	3	-1	-1	0	0	0
龙骧生命恢复效率				190	5	5	-1	-1	0	0	0
龙骧攻击加成35				243	35	35	-1	-1	0	0	0
九剑合一1				139	1	1	-1	-1	1369	1369	0
神光旋绕1				139	1	1	-1	-1	1384	1384	0
九剑合一2				139	2	2	-1	-1	1369	1369	0
神光旋绕2				139	2	2	-1	-1	1384	1384	0
九剑合一3				139	3	3	-1	-1	1369	1369	0
神光旋绕3				139	3	3	-1	-1	1384	1384	0
减少迟缓时间11				106	55	55	-1	-1	0	0	0
减少迟缓时间12				106	60	60	-1	-1	0	0	0
减少迟缓时间13				106	65	65	-1	-1	0	0	0
减少迟缓时间14				106	70	70	-1	-1	0	0	0
减少迟缓时间15				106	75	75	-1	-1	0	0	0
减少迟缓时间16				106	80	80	-1	-1	0	0	0
减少迟缓时间17				106	85	85	-1	-1	0	0	0
减少迟缓时间18				106	90	90	-1	-1	0	0	0
减少迟缓时间19				106	95	95	-1	-1	0	0	0
减少迟缓时间20				106	100	100	-1	-1	0	0	0
新抵消伤害200				237	200	200	-1	-1	0	0	0
原减少中毒时间85_95				108	85	95	-1	-1	0	0	0
原减少眩晕时间85_95				110	85	95	-1	-1	0	0	0
原减少冰冻时间85_95				106	85	95	-1	-1	0	0	0
生命1459_1459				85	1459	1459	-1	-1	0	0	0
新生命（1459）				233	1459	1459	-1	-1	0	0	0
山河攻击技能（70）				243	70	70	-1	-1	0	0	0
星辰石_新抵消伤害				237	1	1	-1	-1	0	0	0
星辰石_加深伤害				269	1	1	-1	-1	0	0	0
星辰石_对攻击技能加成				243	1	1	-1	-1	0	0	0
星辰石_造成受伤概率				259	1	1	-1	-1	0	0	0
星辰石_抵抗受伤概率				260	1	1	-1	-1	0	0	0
星辰石_造成受伤动作时间				219	1	1	-1	-1	0	0	0
星辰石_新打击回复				245	1	1	-1	-1	0	0	0
星辰石_造成眩晕时间				220	1	1	-1	-1	0	0	0
星辰石_格挡				226	1	1	-1	-1	0	0	0
星辰石_抵消格挡				270	1	1	-1	-1	0	0	0
星辰石_重击				227	1	1	-1	-1	0	0	0
星辰石_抵挡重击概率				271	1	1	-1	-1	0	0	0
星辰石_新生命				233	1	1	-1	-1	0	0	0
星辰石_新内力				235	1	1	-1	-1	0	0	0
星辰石_生命回复效率				190	1	1	-1	-1	0	0	0
星辰石_内力回复效率				248	1	1	-1	-1	0	0	0
星辰石_造成中毒时间				258	1	1	-1	-1	0	0	0
星辰石_缩短毒发间隔				164	1	1	-1	-1	0	0	0
星辰石_原减少中毒时间				108	1	1	-1	-1	0	0	0
星辰石_造成迟缓时间				161	1	1	-1	-1	0	0	0
星辰石_减少迟缓时间				106	1	1	-1	-1	0	0	0
星辰石_原减少眩晕时间				110	1	1	-1	-1	0	0	0
星辰石_生命回复（点）				88	1	1	-1	-1	0	0	0
星辰石_内力回复（点）				92	1	1	-1	-1	0	0	0
星辰石_新普防				231	1	1	-1	-1	0	0	0
星辰石_新火防				230	1	1	-1	-1	0	0	0
星辰石_新冰防				232	1	1	-1	-1	0	0	0
星辰石_新毒防				228	1	1	-1	-1	0	0	0
星辰石_新雷防				229	1	1	-1	-1	0	0	0
星辰石_忽略对方普防				263	1	1	-1	-1	0	0	0
星辰石_忽略对方火防				266	1	1	-1	-1	0	0	0
星辰石_忽略对方冰防				265	1	1	-1	-1	0	0	0
星辰石_忽略对方毒防				264	1	1	-1	-1	0	0	0
星辰石_忽略对方雷防				267	1	1	-1	-1	0	0	0
全抗5_10				114	5	10	-1	-1	0	0	0
全抗10_15				114	10	15	-1	-1	0	0	0
全抗10_20				114	10	20	-1	-1	0	0	0
新内力_古塔（1级）				235	250	275	-1	-1	0	0	0
新内力_古塔（2级）				235	250	300	-1	-1	0	0	0
新内力_古塔（3级）				235	250	325	-1	-1	0	0	0
新内力_古塔（4级）				235	250	375	-1	-1	0	0	0
新内力_古塔（5级）				235	250	425	-1	-1	0	0	0
新内力_古塔（6级）				235	500	550	-1	-1	0	0	0
新内力_古塔（7级）				235	500	600	-1	-1	0	0	0
新内力_古塔（8级）				235	500	650	-1	-1	0	0	0
新内力_古塔（9级）				235	500	800	-1	-1	0	0	0
新内力_古塔（10级）				235	500	1000	-1	-1	0	0	0
新生命_古塔（1级）				233	250	275	-1	-1	0	0	0
新生命_古塔（2级）				233	250	300	-1	-1	0	0	0
新生命_古塔（3级）				233	250	325	-1	-1	0	0	0
新生命_古塔（4级）				233	250	375	-1	-1	0	0	0
新生命_古塔（5级）				233	250	425	-1	-1	0	0	0
新生命_古塔（6级）				233	500	550	-1	-1	0	0	0
新生命_古塔（7级）				233	500	600	-1	-1	0	0	0
新生命_古塔（8级）				233	500	650	-1	-1	0	0	0
新生命_古塔（9级）				233	500	800	-1	-1	0	0	0
新生命_古塔（10级）				233	500	1000	-1	-1	0	0	0
经验10_10				176	10	10	-1	-1	0	0	0
经验20_20				176	20	20	-1	-1	0	0	0
经验10_20				176	10	20	-1	-1	0	0	0
经验20_30				176	20	30	-1	-1	0	0	0
经验10_30				176	10	30	-1	-1	0	0	0
经验20_40				176	20	40	-1	-1	0	0	0
经验10_40				176	10	40	-1	-1	0	0	0
经验20_60				176	20	60	-1	-1	0	0	0
经验10_50				176	10	50	-1	-1	0	0	0
经验20_80				176	20	80	-1	-1	0	0	0
全抗5_5				241	5	5	-1	-1	0	0	0
全抗10_10				241	10	10	-1	-1	0	0	0
全抗10_20				241	10	20	-1	-1	0	0	0
全抗10_30				241	10	30	-1	-1	0	0	0
全抗5_10				241	5	10	-1	-1	0	0	0
忽略对方普防(古塔1）				263	4	8	-1	-1	0	0	0
忽略对方普防(古塔2）				263	4	16	-1	-1	0	0	0
忽略对方毒防(古塔1）				264	4	8	-1	-1	0	0	0
忽略对方毒防(古塔2）				264	4	16	-1	-1	0	0	0
忽略对方冰防(古塔1）				265	4	8	-1	-1	0	0	0
忽略对方冰防(古塔2）				265	4	16	-1	-1	0	0	0
忽略对方火防(古塔1）				266	4	8	-1	-1	0	0	0
忽略对方火防(古塔2）				266	4	16	-1	-1	0	0	0
忽略对方土防(古塔1）				267	4	8	-1	-1	0	0	0
忽略对方土防(古塔2）				267	4	16	-1	-1	0	0	0
忽略对方全抗(古塔）				268	2	8	-1	-1	0	0	0
全技能(古塔）				139	1	2	-1	-1	0	0	0
抵消格挡概率(古塔）				270	1	3	-1	-1	0	0	0
命中偷取生命(古塔1）				66	1	1	-1	-1	0	0	0
命中偷取生命(古塔2）				66	1	3	-1	-1	0	0	0
命中偷取生命(古塔3）				66	1	5	-1	-1	0	0	0
命中偷取内力(古塔1）				67	1	1	-1	-1	0	0	0
命中偷取内力(古塔2）				67	1	3	-1	-1	0	0	0
命中偷取内力(古塔3）				67	1	5	-1	-1	0	0	0
腾龙固山武烈套生命（阳）1				233	1000	1000	-1	-1	0	0	0
腾龙固山武烈套生命（阳）2				233	1100	1100	-1	-1	0	0	0
腾龙固山武烈套内力（阳）1				235	1000	1000	-1	-1	0	0	0
腾龙固山武烈套内力（阳）2				235	1100	1100	-1	-1	0	0	0
腾龙固山武烈套雷抗68				229	68	68	-1	-1	0	0	0
腾龙固山武烈套毒抗65				228	70	70	-1	-1	0	0	0
腾龙固山武烈套冰抗70				232	70	70	-1	-1	0	0	0
腾龙固山武烈套火抗70				230	70	70	-1	-1	0	0	0
腾龙固山武烈套雷抗70				229	70	70	-1	-1	0	0	0
腾龙固山武烈套中毒时间95				108	95	95	-1	-1	0	0	0
腾龙固山武烈套迟缓时间95				106	95	95	-1	-1	0	0	0
腾龙固山武烈套晕眩时间95				110	95	95	-1	-1	0	0	0
腾龙固山武烈套生命回复效率(6)				190	6	6	-1	-1	0	0	0
腾龙固山武烈套攻击技能加成（63）				243	63	63	-1	-1	0	0	0
腾龙固山武烈套打击回复71				245	76	76	-1	-1	0	0	0
腾龙固山武烈套抵消伤害68				237	68	68	-1	-1	0	0	0
腾龙固山武烈套格挡4_4				226	4	4	-1	-1	0	0	0
腾龙固山武烈套新全抗（34）				241	34	34	-1	-1	0	0	0
腾龙固山武烈套攻击技能加成（68）				243	68	68	-1	-1	0	0	0
腾龙固山武烈套格挡6_6				226	6	6	-1	-1	0	0	0
腾龙固山武烈套生命回复效率(25)				190	25	25	-1	-1	0	0	0
腾龙固山武烈套迟缓时间（95）				106	95	95	-1	-1	0	0	0
腾龙固山武烈套打击回复76				245	76	76	-1	-1	0	0	0
腾龙固山武烈套全技能				139	1	1	-1	-1	0	0	0
腾龙固山武烈套抵消伤害70				237	70	70	-1	-1	0	0	0
腾龙固山武烈套跑速（90）				111	90	90	-1	-1	0	0	0
腾龙固山武烈套重击（6）				227	6	6	-1	-1	0	0	0
腾龙固山武烈套普抗70				231	70	70	-1	-1	0	0	0
腾龙固山武烈套减少眩晕时间95_95				110	95	95	-1	-1	0	0	0
五行强化值(至尊印鉴)				246	2800	2800	-1	-1	0	0	0
五行弱化值(至尊印鉴)				247	2800	2800	-1	-1	0	0	0
对黄金boss攻击伤害(古塔1）				255	10	20	-1	-1	0	0	0
对黄金boss攻击伤害(古塔2）				255	20	30	-1	-1	0	0	0
新生命（1500）				233	1500	1500	-1	-1	0	0	0
原减少中毒时间90_95(星霜)				108	90	95	-1	-1	0	0	0
原减少眩晕时间90_95(星霜)				110	90	95	-1	-1	0	0	0
原减少冰冻时间90_95(星霜)				106	90	95	-1	-1	0	0	0
新生命%2(星霜)				234	7	12	-1	-1	0	0	0
加深伤害2(星霜)				269	15	20	-1	-1	0	0	0
抵消格挡2(星霜)				270	2	4	-1	-1	0	0	0
造成迟缓时间20_25（星霜）				161	20	25	-1	-1	0	0	0
原减少中毒时间（赤麟满属性）				108	85	85	-1	-1	0	0	0
原减少眩晕时间（赤麟满属性）				110	85	85	-1	-1	0	0	0
原减少冰冻时间（赤麟满属性）				106	85	85	-1	-1	0	0	0
洪荒攻击技能（100）				243	100	100	-1	-1	0	0	0
洪荒抵消格挡				270	4	4	-1	-1	0	0	0
新生命（1939）				233	1939	1939	-1	-1	0	0	0
五行强化值(11级)				246	2750	2750	-1	-1	0	0	0
五行强化值(12级)				246	3000	3000	-1	-1	0	0	0
五行强化值(13级)				246	3250	3250	-1	-1	0	0	0
五行强化值(14级)				246	3500	3500	-1	-1	0	0	0
五行强化值(15级)				246	3750	3750	-1	-1	0	0	0
五行强化值(16级)				246	4000	4000	-1	-1	0	0	0
五行强化值(17级)				246	4250	4250	-1	-1	0	0	0
五行强化值(18级)				246	4500	4500	-1	-1	0	0	0
五行强化值(19级)				246	4750	4750	-1	-1	0	0	0
五行强化值(20级)				246	5000	5000	-1	-1	0	0	0
五行弱化值(11级)				247	2750	2750	-1	-1	0	0	0
五行弱化值(12级)				247	3000	3000	-1	-1	0	0	0
五行弱化值(13级)				247	3250	3250	-1	-1	0	0	0
五行弱化值(14级)				247	3500	3500	-1	-1	0	0	0
五行弱化值(15级)				247	3750	3750	-1	-1	0	0	0
五行弱化值(16级)				247	4000	4000	-1	-1	0	0	0
五行弱化值(17级)				247	4250	4250	-1	-1	0	0	0
五行弱化值(18级)				247	4500	4500	-1	-1	0	0	0
五行弱化值(19级)				247	4750	4750	-1	-1	0	0	0
五行弱化值(20级)				247	5000	5000	-1	-1	0	0	0
五行强化值(至尊1级)				246	3300	3300	-1	-1	0	0	0
五行强化值(至尊2级)				246	3800	3800	-1	-1	0	0	0
五行强化值(至尊3级)				246	4300	4300	-1	-1	0	0	0
五行强化值(至尊4级)				246	4800	4800	-1	-1	0	0	0
五行强化值(至尊5级)				246	5300	5300	-1	-1	0	0	0
五行弱化值(至尊1级)				247	3300	3300	-1	-1	0	0	0
五行弱化值(至尊2级)				247	3800	3800	-1	-1	0	0	0
五行弱化值(至尊3级)				247	4300	4300	-1	-1	0	0	0
五行弱化值(至尊4级)				247	4800	4800	-1	-1	0	0	0
五行弱化值(至尊5级)				247	5300	5300	-1	-1	0	0	0
新生命（1700）				233	1700	1700	-1	-1	0	0	0
成就_忽略对方普防1				263	1	1	-1	-1	0	0	0
成就_忽略对方普防2				263	3	3	-1	-1	0	0	0
成就_忽略对方普防3				263	6	6	-1	-1	0	0	0
成就_忽略对方普防4				263	10	10	-1	-1	0	0	0
成就_忽略对方普防5				263	15	15	-1	-1	0	0	0
成就_忽略对方火防1				266	1	1	-1	-1	0	0	0
成就_忽略对方火防2				266	3	3	-1	-1	0	0	0
成就_忽略对方火防3				266	6	6	-1	-1	0	0	0
成就_忽略对方火防4				266	10	10	-1	-1	0	0	0
成就_忽略对方火防5				266	15	15	-1	-1	0	0	0
成就_忽略对方冰防1				265	1	1	-1	-1	0	0	0
成就_忽略对方冰防2				265	3	3	-1	-1	0	0	0
成就_忽略对方冰防3				265	6	6	-1	-1	0	0	0
成就_忽略对方冰防4				265	10	10	-1	-1	0	0	0
成就_忽略对方冰防5				265	15	15	-1	-1	0	0	0
成就_忽略对方毒防1				264	1	1	-1	-1	0	0	0
成就_忽略对方毒防2				264	3	3	-1	-1	0	0	0
成就_忽略对方毒防3				264	6	6	-1	-1	0	0	0
成就_忽略对方毒防4				264	10	10	-1	-1	0	0	0
成就_忽略对方毒防5				264	15	15	-1	-1	0	0	0
成就_忽略对方雷防1				267	1	1	-1	-1	0	0	0
成就_忽略对方雷防2				267	3	3	-1	-1	0	0	0
成就_忽略对方雷防3				267	6	6	-1	-1	0	0	0
成就_忽略对方雷防4				267	10	10	-1	-1	0	0	0
成就_忽略对方雷防5				267	15	15	-1	-1	0	0	0
成就_抵消格挡1				270	1	1	-1	-1	0	0	0
成就_抵消格挡2				270	2	2	-1	-1	0	0	0
成就_抵消格挡3				270	4	4	-1	-1	0	0	0
成就_抵消格挡4				270	7	7	-1	-1	0	0	0
成就_抵消格挡5				270	10	10	-1	-1	0	0	0
成就_加深伤害1				269	10	10	-1	-1	0	0	0
成就_加深伤害2				269	20	20	-1	-1	0	0	0
成就_加深伤害3				269	40	40	-1	-1	0	0	0
成就_加深伤害4				269	70	70	-1	-1	0	0	0
成就_加深伤害5				269	100	100	-1	-1	0	0	0
成就_重击1				227	1	1	-1	-1	0	0	0
成就_重击2				227	2	2	-1	-1	0	0	0
成就_重击3				227	4	4	-1	-1	0	0	0
成就_重击4				227	7	7	-1	-1	0	0	0
成就_重击5				227	10	10	-1	-1	0	0	0
成就_忽略对方全抗1				268	1	1	-1	-1	0	0	0
成就_忽略对方全抗2				268	2	2	-1	-1	0	0	0
成就_忽略对方全抗3				268	4	4	-1	-1	0	0	0
成就_忽略对方全抗4				268	7	7	-1	-1	0	0	0
成就_忽略对方全抗5				268	10	10	-1	-1	0	0	0
成就_造成受伤概率1				259	1	1	-1	-1	0	0	0
成就_造成受伤概率2				259	2	2	-1	-1	0	0	0
成就_造成受伤概率3				259	4	4	-1	-1	0	0	0
成就_造成受伤概率4				259	7	7	-1	-1	0	0	0
成就_造成受伤概率5				259	10	10	-1	-1	0	0	0
成就_造成受伤动作时间1				219	1	1	-1	-1	0	0	0
成就_造成受伤动作时间2				219	3	3	-1	-1	0	0	0
成就_造成受伤动作时间3				219	6	6	-1	-1	0	0	0
成就_造成受伤动作时间4				219	10	10	-1	-1	0	0	0
成就_造成受伤动作时间5				219	15	15	-1	-1	0	0	0
成就_造成中毒时间1				258	2	2	-1	-1	0	0	0
成就_造成中毒时间2				258	4	4	-1	-1	0	0	0
成就_造成中毒时间3				258	8	8	-1	-1	0	0	0
成就_造成中毒时间4				258	14	14	-1	-1	0	0	0
成就_造成中毒时间5				258	20	20	-1	-1	0	0	0
成就_造成迟缓时间1				161	2	2	-1	-1	0	0	0
成就_造成迟缓时间2				161	4	4	-1	-1	0	0	0
成就_造成迟缓时间3				161	8	8	-1	-1	0	0	0
成就_造成迟缓时间4				161	14	14	-1	-1	0	0	0
成就_造成迟缓时间5				161	20	20	-1	-1	0	0	0
成就_造成眩晕概率1				261	1	1	-1	-1	0	0	0
成就_造成眩晕概率2				261	2	2	-1	-1	0	0	0
成就_造成眩晕概率3				261	4	4	-1	-1	0	0	0
成就_造成眩晕概率4				261	7	7	-1	-1	0	0	0
成就_造成眩晕概率5				261	10	10	-1	-1	0	0	0
成就_造成眩晕时间1				220	2	2	-1	-1	0	0	0
成就_造成眩晕时间2				220	4	4	-1	-1	0	0	0
成就_造成眩晕时间3				220	8	8	-1	-1	0	0	0
成就_造成眩晕时间4				220	14	14	-1	-1	0	0	0
成就_造成眩晕时间5				220	20	20	-1	-1	0	0	0
成就_新普防1				231	1	1	-1	-1	0	0	0
成就_新普防2				231	3	3	-1	-1	0	0	0
成就_新普防3				231	6	6	-1	-1	0	0	0
成就_新普防4				231	10	10	-1	-1	0	0	0
成就_新普防5				231	15	15	-1	-1	0	0	0
成就_新火防1				230	1	1	-1	-1	0	0	0
成就_新火防2				230	3	3	-1	-1	0	0	0
成就_新火防3				230	6	6	-1	-1	0	0	0
成就_新火防4				230	10	10	-1	-1	0	0	0
成就_新火防5				230	15	15	-1	-1	0	0	0
成就_新冰防1				232	1	1	-1	-1	0	0	0
成就_新冰防2				232	3	3	-1	-1	0	0	0
成就_新冰防3				232	6	6	-1	-1	0	0	0
成就_新冰防4				232	10	10	-1	-1	0	0	0
成就_新冰防5				232	15	15	-1	-1	0	0	0
成就_新毒防1				228	1	1	-1	-1	0	0	0
成就_新毒防2				228	3	3	-1	-1	0	0	0
成就_新毒防3				228	6	6	-1	-1	0	0	0
成就_新毒防4				228	10	10	-1	-1	0	0	0
成就_新毒防5				228	15	15	-1	-1	0	0	0
成就_新雷防1				229	1	1	-1	-1	0	0	0
成就_新雷防2				229	3	3	-1	-1	0	0	0
成就_新雷防3				229	6	6	-1	-1	0	0	0
成就_新雷防4				229	10	10	-1	-1	0	0	0
成就_新雷防5				229	15	15	-1	-1	0	0	0
成就_新生命1				233	200	200	-1	-1	0	0	0
成就_新生命2				233	400	400	-1	-1	0	0	0
成就_新生命3				233	800	800	-1	-1	0	0	0
成就_新生命4				233	1400	1400	-1	-1	0	0	0
成就_新生命5				233	2000	2000	-1	-1	0	0	0
成就_新内力1				235	100	100	-1	-1	0	0	0
成就_新内力2				235	300	300	-1	-1	0	0	0
成就_新内力3				235	600	600	-1	-1	0	0	0
成就_新内力4				235	1000	1000	-1	-1	0	0	0
成就_新内力5				235	1500	1500	-1	-1	0	0	0
成就_格挡1				226	1	1	-1	-1	0	0	0
成就_格挡2				226	2	2	-1	-1	0	0	0
成就_格挡3				226	4	4	-1	-1	0	0	0
成就_格挡4				226	7	7	-1	-1	0	0	0
成就_格挡5				226	10	10	-1	-1	0	0	0
成就_新抵消伤害1				237	10	10	-1	-1	0	0	0
成就_新抵消伤害2				237	20	20	-1	-1	0	0	0
成就_新抵消伤害3				237	40	40	-1	-1	0	0	0
成就_新抵消伤害4				237	70	70	-1	-1	0	0	0
成就_新抵消伤害5				237	100	100	-1	-1	0	0	0
成就_抵挡重击概率1				271	1	1	-1	-1	0	0	0
成就_抵挡重击概率2				271	2	2	-1	-1	0	0	0
成就_抵挡重击概率3				271	4	4	-1	-1	0	0	0
成就_抵挡重击概率4				271	7	7	-1	-1	0	0	0
成就_抵挡重击概率5				271	10	10	-1	-1	0	0	0
成就_生命回复效率1				190	5	5	-1	-1	0	0	0
成就_生命回复效率2				190	10	10	-1	-1	0	0	0
成就_生命回复效率3				190	20	20	-1	-1	0	0	0
成就_生命回复效率4				190	35	35	-1	-1	0	0	0
成就_生命回复效率5				190	50	50	-1	-1	0	0	0
成就_内力回复效率1				248	5	5	-1	-1	0	0	0
成就_内力回复效率2				248	10	10	-1	-1	0	0	0
成就_内力回复效率3				248	20	20	-1	-1	0	0	0
成就_内力回复效率4				248	35	35	-1	-1	0	0	0
成就_内力回复效率5				248	50	50	-1	-1	0	0	0
成就_新全抗1				241	1	1	-1	-1	0	0	0
成就_新全抗2				241	2	2	-1	-1	0	0	0
成就_新全抗3				241	4	4	-1	-1	0	0	0
成就_新全抗4				241	7	7	-1	-1	0	0	0
成就_新全抗5				241	10	10	-1	-1	0	0	0
成就_原减少中毒时间1				108	2	2	-1	-1	0	0	0
成就_原减少中毒时间2				108	4	4	-1	-1	0	0	0
成就_原减少中毒时间3				108	8	8	-1	-1	0	0	0
成就_原减少中毒时间4				108	14	14	-1	-1	0	0	0
成就_原减少中毒时间5				108	20	20	-1	-1	0	0	0
成就_减少迟缓时间1				106	2	2	-1	-1	0	0	0
成就_减少迟缓时间2				106	4	4	-1	-1	0	0	0
成就_减少迟缓时间3				106	8	8	-1	-1	0	0	0
成就_减少迟缓时间4				106	14	14	-1	-1	0	0	0
成就_减少迟缓时间5				106	20	20	-1	-1	0	0	0
成就_抵抗受伤概率1				260	1	1	-1	-1	0	0	0
成就_抵抗受伤概率2				260	2	2	-1	-1	0	0	0
成就_抵抗受伤概率3				260	4	4	-1	-1	0	0	0
成就_抵抗受伤概率4				260	7	7	-1	-1	0	0	0
成就_抵抗受伤概率5				260	10	10	-1	-1	0	0	0
成就_新打击回复1				245	1	1	-1	-1	0	0	0
成就_新打击回复2				245	3	3	-1	-1	0	0	0
成就_新打击回复3				245	6	6	-1	-1	0	0	0
成就_新打击回复4				245	10	10	-1	-1	0	0	0
成就_新打击回复5				245	15	15	-1	-1	0	0	0
抵抗眩晕概率1				262	1	1	-1	-1	0	0	0
抵抗眩晕概率2				262	2	2	-1	-1	0	0	0
抵抗眩晕概率3				262	4	4	-1	-1	0	0	0
抵抗眩晕概率4				262	7	7	-1	-1	0	0	0
抵抗眩晕概率5				262	10	10	-1	-1	0	0	0
成就_原减少眩晕时间1				110	2	2	-1	-1	0	0	0
成就_原减少眩晕时间2				110	4	4	-1	-1	0	0	0
成就_原减少眩晕时间3				110	8	8	-1	-1	0	0	0
成就_原减少眩晕时间4				110	14	14	-1	-1	0	0	0
成就_原减少眩晕时间5				110	20	20	-1	-1	0	0	0
成就_对金系伤害增加1				276	1	1	-1	-1	0	0	0
成就_对金系伤害增加2				276	2	2	-1	-1	0	0	0
成就_对金系伤害增加3				276	4	4	-1	-1	0	0	0
成就_对金系伤害增加4				276	6	6	-1	-1	0	0	0
成就_对金系伤害增加5				276	8	8	-1	-1	0	0	0
成就_减少来自金系的伤害1				277	1	1	-1	-1	0	0	0
成就_减少来自金系的伤害2				277	2	2	-1	-1	0	0	0
成就_减少来自金系的伤害3				277	4	4	-1	-1	0	0	0
成就_减少来自金系的伤害4				277	6	6	-1	-1	0	0	0
成就_减少来自金系的伤害5				277	8	8	-1	-1	0	0	0
成就_对木系伤害增加1				278	1	1	-1	-1	0	0	0
成就_对木系伤害增加2				278	2	2	-1	-1	0	0	0
成就_对木系伤害增加3				278	4	4	-1	-1	0	0	0
成就_对木系伤害增加4				278	6	6	-1	-1	0	0	0
成就_对木系伤害增加5				278	8	8	-1	-1	0	0	0
成就_减少来自木系的伤害1				279	1	1	-1	-1	0	0	0
成就_减少来自木系的伤害2				279	2	2	-1	-1	0	0	0
成就_减少来自木系的伤害3				279	4	4	-1	-1	0	0	0
成就_减少来自木系的伤害4				279	6	6	-1	-1	0	0	0
成就_减少来自木系的伤害5				279	8	8	-1	-1	0	0	0
成就_对水系的伤害增加1				280	1	1	-1	-1	0	0	0
成就_对水系的伤害增加2				280	2	2	-1	-1	0	0	0
成就_对水系的伤害增加3				280	4	4	-1	-1	0	0	0
成就_对水系的伤害增加4				280	6	6	-1	-1	0	0	0
成就_对水系的伤害增加5				280	8	8	-1	-1	0	0	0
成就_减少来自水系的伤害1				281	1	1	-1	-1	0	0	0
成就_减少来自水系的伤害2				281	2	2	-1	-1	0	0	0
成就_减少来自水系的伤害3				281	4	4	-1	-1	0	0	0
成就_减少来自水系的伤害4				281	6	6	-1	-1	0	0	0
成就_减少来自水系的伤害5				281	8	8	-1	-1	0	0	0
成就_对火系伤害增加1				282	1	1	-1	-1	0	0	0
成就_对火系伤害增加2				282	2	2	-1	-1	0	0	0
成就_对火系伤害增加3				282	4	4	-1	-1	0	0	0
成就_对火系伤害增加4				282	6	6	-1	-1	0	0	0
成就_对火系伤害增加5				282	8	8	-1	-1	0	0	0
成就_减少来自火系的伤害1				283	1	1	-1	-1	0	0	0
成就_减少来自火系的伤害2				283	2	2	-1	-1	0	0	0
成就_减少来自火系的伤害3				283	4	4	-1	-1	0	0	0
成就_减少来自火系的伤害4				283	6	6	-1	-1	0	0	0
成就_减少来自火系的伤害5				283	8	8	-1	-1	0	0	0
成就_对土系伤害增加1				284	1	1	-1	-1	0	0	0
成就_对土系伤害增加2				284	2	2	-1	-1	0	0	0
成就_对土系伤害增加3				284	4	4	-1	-1	0	0	0
成就_对土系伤害增加4				284	6	6	-1	-1	0	0	0
成就_对土系伤害增加5				284	8	8	-1	-1	0	0	0
成就_减少来自土系的伤害1				285	1	1	-1	-1	0	0	0
成就_减少来自土系的伤害2				285	2	2	-1	-1	0	0	0
成就_减少来自土系的伤害3				285	4	4	-1	-1	0	0	0
成就_减少来自土系的伤害4				285	6	6	-1	-1	0	0	0
成就_减少来自土系的伤害5				285	8	8	-1	-1	0	0	0
内功攻速(经典版五黄)				116	5	12	-1	-1	0	0	0
披风加深伤害11				269	160	160	-1	-1	0	0	0
免费月阙外功攻速-少林				239	141	201	-1	-1	0	0	0
免费月阙外功攻速-剑峨眉				239	141	201	-1	-1	0	0	0
免费月阙外功攻速-刀翠烟				239	141	201	-1	-1	0	0	0
免费月阙外功攻速-刀五毒				239	112	158	-1	-1	0	0	0
免费月阙外功攻速-唐门				239	228	351	-1	-1	0	0	0
免费月阙外功攻速-棍丐帮				239	141	218	-1	-1	0	0	0
免费月阙外功攻速-矛天忍				239	177	291	-1	-1	0	0	0
免费月阙外功攻速-剑武当				239	141	201	-1	-1	0	0	0
免费月阙外功攻速-刀昆仑				239	177	261	-1	-1	0	0	0
免费月阙外功攻速-剑华山				239	112	169	-1	-1	0	0	0
免费月阙内功攻速-掌峨眉				240	141	201	-1	-1	0	0	0
免费月阙内功攻速-双刀翠烟				240	141	201	-1	-1	0	0	0
